Key,en,es,reviewed
Brows,Brows,Cejas,False
Ear,Ear,Oreja,False
Eye,Eye,Ojo,False
Base Hair,Base Hair,Cabello Base,False
Hair Bang >>,Hair Bang >>,Flequillo de pelo >>,False
Hair Bang ><,Hair Bang ><,Flequillo de pelo ><,False
Hair Bang <<,Hair Bang <<,Flequillo de pelo <<,False
Hair Shine,Hair Shine,Brillo del cabello,False
Hair Branch >>,Hair Branch >>,Rama de pelo >>,False
Hair Branch <<,Hair Branch <<,Rama de cabello <<,False
Hair Framing >>,Hair Framing >>,Enmarcado del cabello >>,False
Hair Framing <<,Hair Framing <<,Enmarcado del cabello <<,False
Hair Framing,Hair Framing,Encuadre del cabello,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Destacado del cabello 1 >>,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Destacado del cabello 2 >>,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Destacado del cabello 3 >>,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Destacado del cabello 1 ><,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Destacado del cabello 2 ><,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Destacado del cabello 3 ><,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Resaltado del cabello 4 ><,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Destacado del cabello 5 ><,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Destacado del cabello 6 ><,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Destacado del cabello 1 <<,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Destacado del cabello 2 <<,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Destacado del cabello 3 <<,False
Hair Side,Hair Side,Lado del cabello,False
Hair Ahoge,Hair Ahoge,pelo ahogado,False
Hair Rear,Hair Rear,pelo trasero,False
Hair Pigtail >>,Hair Pigtail >>,Coleta de pelo >>,False
Hair Pigtail <<,Hair Pigtail <<,Coleta de pelo <<,False
Animal Ear,Animal Ear,oreja de animal,False
Antenna,Antenna,Antena,False
Fin,Fin,Aleta,False
Gill,Gill,Branquia,False
Glasses,Glasses,Anteojos,False
Hairband A,Hairband A,Diadema A,False
Hairband B,Hairband B,Diadema B,False
Hairband C,Hairband C,Diadema C,False
Hairband D,Hairband D,Diadema D,False
Hair Clip >>,Hair Clip >>,Pinza para el pelo >>,False
Hair Clip <<,Hair Clip <<,Pinza para el pelo <<,False
Halo,Halo,Halo,False
Hat,Hat,Sombrero,False
Ear Wing,Ear Wing,Ala de oreja,False
Horn,Horn,Bocina,False
Horn Front ><,Horn Front ><,Frente de bocina ><,False
Horn Front,Horn Front,Frente de bocina,False
Mecha,Mecha,mecha,False
Outfit Collar Inner,Outfit Collar Inner,Interior del cuello del traje.,False
Outfit Inner,Outfit Inner,Conjunto interior,False
Outfit Outer,Outfit Outer,Traje exterior,False
Outfit Neckwear A,Outfit Neckwear A,Traje Corbatas A,False
Outfit Neckwear B,Outfit Neckwear B,Conjunto Corbatas B,False
Outfit Neckwear C,Outfit Neckwear C,Conjunto Corbatas C,False
Hair Side Branch >> A,Hair Side Branch >> A,Rama lateral del cabello >> A,False
Hair Side Branch >> B,Hair Side Branch >> B,Rama lateral del cabello >> B,False
Hair Side Branch >> C,Hair Side Branch >> C,Rama lateral del cabello >> C,False
Hair Side Branch << A,Hair Side Branch << A,Rama lateral del cabello << A,False
Hair Side Branch << B,Hair Side Branch << B,Rama lateral del cabello << B,False
Hair Side Branch << C,Hair Side Branch << C,Rama lateral del cabello << C,False
Tail,Tail,Cola,False
Wing,Wing,Ala,False
