Key,en,fr
Hair Ahoge,Hair Ahoge,Cheveux Ahoge
Hair Ahoge Outline,Hair Ahoge Outline,Aperçu des cheveux Ahoge
Animal Ear >>,Animal Ear >>,Oreille d'animal >>
Animal Ear >> Fur,Animal Ear >> Fur,Oreille d'animal >> Fourrure
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Oreille d'animal >> Contour de fourrure
Animal Ear >> Outline,Animal Ear >> Outline,Oreille d'animal >> Aperçu
Animal Ear <<,Animal Ear <<,Oreille d'animal <<
Animal Ear << Fur,Animal Ear << Fur,Oreille d'animal << Fourrure
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Oreille d'animal << Contour de fourrure
Animal Ear << Outline,Animal Ear << Outline,Oreille d'animal << Aperçu
Antenna >>,Antenna >>,Antenne >>
Antenna >> Outline,Antenna >> Outline,Antenne >> Aperçu
Antenna <<,Antenna <<,Antenne <<
Antenna << Outline,Antenna << Outline,Antenne << Aperçu
Hair Rear,Hair Rear,Cheveux arrière
Hair Rear Outline,Hair Rear Outline,Contour arrière des cheveux
Beverage Cup,Beverage Cup,Tasse de boisson
Beverage Liquid,Beverage Liquid,Boisson liquide
Beverage Liquid 2,Beverage Liquid 2,Boisson liquide 2
Bill,Bill,Facture
Blanket Inner,Blanket Inner,Couverture intérieure
Blanket Outter,Blanket Outter,Couverture extérieure
Face Blush,Face Blush,Fard À Joues Pour Le Visage
Brow >>,Brow >>,Sourcil >>
Brow <<,Brow <<,Sourcils <<
Chopstick,Chopstick,Baguette
Crowbar,Crowbar,Pied de biche
Cup,Cup,Tasse
Cup Steam,Cup Steam,Tasse Vapeur
Door/Wall,Door/Wall,Porte/Mur
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Oeil (Dum) Pupille >>
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Oeil(Dum)Pupille <<
Eyebag,Eyebag,Poche oculaire
Eye Iris Dark >>,Eye Iris Dark >>,Iris des yeux foncé >>
Eye Iris Dark <<,Eye Iris Dark <<,Iris des yeux foncé <<
Eye Dollar,Eye Dollar,Dollar pour les yeux
Eye Heart,Eye Heart,Oeil Coeur
Eye Highlight,Eye Highlight,Point culminant des yeux
Eyelashes,Eyelashes,Cils
Eye Iris Light >>,Eye Iris Light >>,Lumière de l'iris des yeux >>
Eye Iris Light <<,Eye Iris Light <<,Lumière de l'iris des yeux <<
Eye(Dum) Outline,Eye(Dum) Outline,Contour de l'oeil (Dum)
Eye Sparkling,Eye Sparkling,Oeil pétillant
Eye Spiral,Eye Spiral,Spirale des yeux
Eye White,Eye White,Oeil blanc
Face Shadow,Face Shadow,Ombre à visage
Fin >>,Fin >>,Aileron >>
Fin >> Outline,Fin >> Outline,Fin >> Aperçu
Fin <<,Fin <<,Fin <<
Fin << Outline,Fin << Outline,Fin << Aperçu
Hair Framing >>,Hair Framing >>,Encadrement des cheveux >>
Hair Framing >> Outline,Hair Framing >> Outline,Encadrement des cheveux >> Aperçu
Hair Framing <<,Hair Framing <<,Encadrement des cheveux <<
Hair Framing << Outline,Hair Framing << Outline,Encadrement des cheveux << Aperçu
Gill,Gill,Gil
Gill Outline,Gill Outline,Aperçu des branchies
Glasses,Glasses,Lunettes
Hairband A,Hairband A,Bandeau A
Hairband A Outline,Hairband A Outline,Bandeau A Contour
Hairband B,Hairband B,Bandeau B
Hairband B Outline,Hairband B Outline,Bandeau B Contour
Hairband C,Hairband C,Bandeau C
Hairband C Outline,Hairband C Outline,Bandeau C Contour
Hairband D,Hairband D,Bandeau D
Hairband D Outline,Hairband D Outline,Bandeau D Contour
Hair Bang >>,Hair Bang >>,Frange de cheveux >>
Hair Bang >> Outline,Hair Bang >> Outline,Frange de cheveux >> Aperçu
Hair Bang ><,Hair Bang ><,Frange de cheveux ><
Hair Bang >< Outline,Hair Bang >< Outline,Frange de cheveux >< Aperçu
Hair Bang <<,Hair Bang <<,Frange de cheveux <<
Hair Bang << Outline,Hair Bang << Outline,Frange de cheveux << Aperçu
Hair Clip >>,Hair Clip >>,Pince à cheveux >>
Hair Clip >> Outline,Hair Clip >> Outline,Pince à cheveux >> Aperçu
Hair Clip <<,Hair Clip <<,Pince à cheveux <<
Hair Clip << Outline,Hair Clip << Outline,Pince à cheveux << Aperçu
Hair Highlight 1 >>,Hair Highlight 1 >>,Mèches de cheveux 1 >>
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Mèches de cheveux 1 >> Aperçu
Hair Highlight 2 >>,Hair Highlight 2 >>,Mèches de cheveux 2 >>
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Mèches capillaires 2 >> Aperçu
Hair Highlight 3 >>,Hair Highlight 3 >>,Mèches de cheveux 3 >>
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Mèches capillaires 3 >> Aperçu
Hair Highlight 1 ><,Hair Highlight 1 ><,Mèches de cheveux 1 ><
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Mèches de cheveux 1 >< Aperçu
Hair Highlight 2 ><,Hair Highlight 2 ><,Mèches de cheveux 2 ><
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Mèches de cheveux 2 >< Aperçu
Hair Highlight 3 ><,Hair Highlight 3 ><,Mèches de cheveux 3 ><
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Mèches de cheveux 3 >< Aperçu
Hair Highlight 4 ><,Hair Highlight 4 ><,Mèches de cheveux 4 ><
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Mèches de cheveux 4 >< Aperçu
Hair Highlight 5 ><,Hair Highlight 5 ><,Mèches de cheveux 5 ><
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Mèches de cheveux 5 >< Aperçu
Hair Highlight 6 ><,Hair Highlight 6 ><,Mèches de cheveux 6 ><
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Mèches de cheveux 6 >< Aperçu
Hair Highlight 1 <<,Hair Highlight 1 <<,Mèches de cheveux 1 <<
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Mèches de cheveux 1 << Aperçu
Hair Highlight 2 <<,Hair Highlight 2 <<,Mèches de cheveux 2 <<
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Mèches de cheveux 2 << Aperçu
Hair Highlight 3 <<,Hair Highlight 3 <<,Mèches de cheveux 3 <<
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Mèches de cheveux 3 << Aperçu
Hairline Outline,Hairline Outline,Contour des cheveux
Hair Shine,Hair Shine,Brillance des cheveux
Hair Shine Outline,Hair Shine Outline,Aperçu de la brillance des cheveux
Halo,Halo,Halo
Halo Outline,Halo Outline,Aperçu du halo
Hat,Hat,Chapeau
Hat Outline,Hat Outline,Aperçu du chapeau
Hat Secondary,Hat Secondary,Chapeau Secondaire
Hat Secondary Outline,Hat Secondary Outline,Contour secondaire du chapeau
Hammer,Hammer,Marteau
Ear Wing >>,Ear Wing >>,Aile d'oreille >>
Ear Wing >> Outline,Ear Wing >> Outline,Aile d'oreille >> Aperçu
Ear Wing <<,Ear Wing <<,Aile d'oreille <<
Ear Wing << Outline,Ear Wing << Outline,Aile d'oreille << Aperçu
Heart,Heart,Cœur
Horn >>,Horn >>,Corne >>
Horn >> Outline,Horn >> Outline,Corne >> Aperçu
Horn <<,Horn <<,Corne <<
Horn << Outline,Horn << Outline,Corne << Aperçu
Horn ><,Horn ><,Corne ><
Horn >< Outline,Horn >< Outline,Corne >< Aperçu
Jail Grill,Jail Grill,Grill de prison
Keyboard,Keyboard,Clavier
Kitchen Knife,Kitchen Knife,Couteau de cuisine
Laptop,Laptop,Ordinateur portable
Laptop Light,Laptop Light,Lumière pour ordinateur portable
Leg >>,Leg >>,Jambe >>
Leg <<,Leg <<,Jambe <<
Lightstick Handle,Lightstick Handle,Poignée de bâton lumineux
Light Stick >>,Light Stick >>,Bâton lumineux >>
Light Stick <<,Light Stick <<,Bâton lumineux <<
Mecha,Mecha,Mécha
Mecha >>,Mecha >>,Mécha >>
Mecha >> Outline,Mecha >> Outline,Mecha >> Aperçu
Mecha Outline,Mecha Outline,Aperçu du méca
Mecha <<,Mecha <<,Mécha <<
Mecha << Outline,Mecha << Outline,Mecha << Aperçu
Mouse,Mouse,Souris
Mouth/Tongue,Mouth/Tongue,Bouche/Langue
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Ombre bouche/langue
Notepad,Notepad,Bloc-notes
Outfit Collar,Outfit Collar,Collier de tenue
Outfit Collar Outline,Outfit Collar Outline,Aperçu du col de la tenue
Outfit Inner,Outfit Inner,Tenue intérieure
Outfit Inner Outline,Outfit Inner Outline,Aperçu intérieur de la tenue
Outfit Neckwear A,Outfit Neckwear A,Tenue Cravate A
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Tenue Cravates Un Contour
Outfit Neckwear B,Outfit Neckwear B,Tenue Cravate B
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Tenue Cravates B Outline
Outfit Neckwear C,Outfit Neckwear C,Tenue Cravate C
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Tenue Cravate C Outline
Outfit Outer,Outfit Outer,Tenue extérieure
Outfit Outer Outline,Outfit Outer Outline,Contour extérieur de la tenue
Pencil,Pencil,Crayon
Phone,Phone,Téléphone
Phone Light,Phone Light,Lumière du téléphone
Hair Pigtail >>,Hair Pigtail >>,Queue de cochon >>
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Queue de cochon >> Aperçu
Hair Pigtail <<,Hair Pigtail <<,Queue de cochon <<
Hair Pigtail << Outline,Hair Pigtail << Outline,Queue de cochon << Aperçu
Rose,Rose,Rose
Round Sign,Round Sign,Signe rond
Round Sign Text,Round Sign Text,Texte de signe rond
Hair Side,Hair Side,Côté cheveux
Hair Side Outline,Hair Side Outline,Contour côté cheveux
Skin,Skin,Peau
Skin Outline,Skin Outline,Contour de la peau
Square Sign,Square Sign,Signe carré
Square Sign Text,Square Sign Text,Texte de signe carré
Steering Wheel,Steering Wheel,Volant
Gas Bottle,Gas Bottle,Bouteille de gaz
Pat Hand,Pat Hand,Pat Main
Sticker Alert,Sticker Alert,Alerte autocollant
Sticker Alert Effect,Sticker Alert Effect,Effet d'alerte autocollant
Sticker Alert Outline,Sticker Alert Outline,Aperçu de l’alerte autocollant
Sticker Angry,Sticker Angry,Autocollant En colère
Sticker Exclamation Mark,Sticker Exclamation Mark,Autocollant point d'exclamation
Sticker Ghost,Sticker Ghost,Autocollant Fantôme
Sticker Heart,Sticker Heart,Autocollant Coeur
Sticker Laugh,Sticker Laugh,Autocollant Rire
Sticker Question Mark,Sticker Question Mark,Autocollant point d'interrogation
Sticker Sleep,Sticker Sleep,Autocollant Sommeil
Sticker Star,Sticker Star,Autocollant Étoile
Sticker Steam,Sticker Steam,Autocollant Vapeur
Sticker Surprise,Sticker Surprise,Autocollant Surprise
Sticker Sweat,Sticker Sweat,Autocollant Sueur
Sticker Sweat (Large),Sticker Sweat (Large),Autocollant Sweat (Grand)
Sticker Volume,Sticker Volume,Volume des autocollants
Sticky Note,Sticky Note,Pense-bête
Sticky Note Text,Sticky Note Text,Texte de pense-bête
Eye Tear,Eye Tear,Larme aux yeux
Utensil,Utensil,Ustensile
Outfit Collar String,Outfit Collar String,Chaîne de collier de tenue
