Key,en,fr
Brows,Brows,
Ear,Ear,
Eye,Eye,
Base Hair,Base Hair,
Hair Bang >>,Hair Bang >>,
Hair Bang ><,Hair Bang ><,
Hair Bang <<,Hair Bang <<,
Hair Shine,Hair Shine,
Hair Branch >>,Hair Branch >>,
Hair Branch <<,Hair Branch <<,
Hair Framing >>,Hair Framing >>,
Hair Framing <<,Hair Framing <<,
Hair Framing,Hair Framing,
Hair Highlight 1 >>,Hair Highlight 1 >>,
Hair Highlight 2 >>,Hair Highlight 2 >>,
Hair Highlight 3 >>,Hair Highlight 3 >>,
Hair Highlight 1 ><,Hair Highlight 1 ><,
Hair Highlight 2 ><,Hair Highlight 2 ><,
Hair Highlight 3 ><,Hair Highlight 3 ><,
Hair Highlight 4 ><,Hair Highlight 4 ><,
Hair Highlight 5 ><,Hair Highlight 5 ><,
Hair Highlight 6 ><,Hair Highlight 6 ><,
Hair Highlight 1 <<,Hair Highlight 1 <<,
Hair Highlight 2 <<,Hair Highlight 2 <<,
Hair Highlight 3 <<,Hair Highlight 3 <<,
Hair Side,Hair Side,
Hair Ahoge,Hair Ahoge,
Hair Rear,Hair Rear,
Hair Pigtail >>,Hair Pigtail >>,
Hair Pigtail <<,Hair Pigtail <<,
Animal Ear,Animal Ear,
Antenna,Antenna,
Fin,Fin,
Gill,Gill,
Glasses,Glasses,
Hairband A,Hairband A,
Hairband B,Hairband B,
Hairband C,Hairband C,
Hairband D,Hairband D,
Hair Clip >>,Hair Clip >>,
Hair Clip <<,Hair Clip <<,
Halo,Halo,
Hat,Hat,
Ear Wing,Ear Wing,
Horn,Horn,
Horn Front ><,Horn Front ><,
Horn Front,Horn Front,
Mecha,Mecha,
Outfit Collar Inner,Outfit Collar Inner,
Outfit Inner,Outfit Inner,
Outfit Outer,Outfit Outer,
Outfit Neckwear A,Outfit Neckwear A,
Outfit Neckwear B,Outfit Neckwear B,
Outfit Neckwear C,Outfit Neckwear C,
Hair Side Branch >> A,Hair Side Branch >> A,
Hair Side Branch >> B,Hair Side Branch >> B,
Hair Side Branch >> C,Hair Side Branch >> C,
Hair Side Branch << A,Hair Side Branch << A,
Hair Side Branch << B,Hair Side Branch << B,
Hair Side Branch << C,Hair Side Branch << C,
