Key,en,fr
Eyelash Length,Eyelash Length,
Brows Distance,Brows Distance,
Brows Height,Brows Height,
Ear Shape 1,Ear Shape 1,
Ear Shape 2,Ear Shape 2,
Hair Bang >< Length,Hair Bang >< Length,
Hair Bang >< Shear,Hair Bang >< Shear,
Hair Bang >> Position,Hair Bang >> Position,
Hair Bang >> Length,Hair Bang >> Length,
Hair Bang >> Shear,Hair Bang >> Shear,
Hair Bang << Position,Hair Bang << Position,
Hair Bang << Length,Hair Bang << Length,
Hair Bang << Shear,Hair Bang << Shear,
Hair Framing << Length,Hair Framing << Length,
Hair Framing >> Length,Hair Framing >> Length,
Hair Side Length,Hair Side Length,
Hair Rear Length,Hair Rear Length,
Ahoge Position,Ahoge Position,
Ahoge Angle,Ahoge Angle,
Animal Ear & Antenna Position,Animal Ear & Antenna Position,
Fin & Gill Position,Fin & Gill Position,
Halo Position,Halo Position,
Hat Position,Hat Position,
Horn >> Length,Horn >> Length,
Horn << Length,Horn << Length,
Horn >< Length,Horn >< Length,
Horn Position,Horn Position,
Ear Wing Position,Ear Wing Position,
