Key,en,fr,reviewed
Hair Ahoge,Hair Ahoge,Cheveux Ahoge,False
Hair Ahoge Outline,Hair Ahoge Outline,Aperçu des cheveux Ahoge,False
Animal Ear >>,Animal Ear >>,Oreille d'animal >>,False
Animal Ear >> Fur,Animal Ear >> Fur,Oreille d'animal >> Fourrure,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Oreille d'animal >> Contour de fourrure,False
Animal Ear >> Outline,Animal Ear >> Outline,Oreille d'animal >> Aperçu,False
Animal Ear <<,Animal Ear <<,Oreille d'animal <<,False
Animal Ear << Fur,Animal Ear << Fur,Oreille d'animal << Fourrure,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Oreille d'animal << Contour de fourrure,False
Animal Ear << Outline,Animal Ear << Outline,Oreille d'animal << Aperçu,False
Antenna >>,Antenna >>,Antenne >>,False
Antenna >> Outline,Antenna >> Outline,Antenne >> Aperçu,False
Antenna <<,Antenna <<,Antenne <<,False
Antenna << Outline,Antenna << Outline,Antenne << Aperçu,False
Hair Rear,Hair Rear,Cheveux arrière,False
Hair Rear Outline,Hair Rear Outline,Contour arrière des cheveux,False
Beverage Cup,Beverage Cup,Tasse de boisson,False
Beverage Liquid,Beverage Liquid,Boisson liquide,False
Beverage Liquid 2,Beverage Liquid 2,Boisson liquide 2,False
Bill,Bill,Facture,False
Blanket Inner,Blanket Inner,Couverture intérieure,False
Blanket Outter,Blanket Outter,Couverture extérieure,False
Face Blush,Face Blush,Fard À Joues Pour Le Visage,False
Brow >>,Brow >>,Sourcil >>,False
Brow <<,Brow <<,Sourcils <<,False
Chopstick,Chopstick,Baguette,False
Crowbar,Crowbar,Pied de biche,False
Cup,Cup,Tasse,False
Cup Steam,Cup Steam,Tasse Vapeur,False
Door/Wall,Door/Wall,Porte/Mur,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Oeil (Dum) Pupille >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Oeil(Dum)Pupille <<,False
Eyebag,Eyebag,Poche oculaire,False
Eye Iris Dark >>,Eye Iris Dark >>,Iris des yeux foncé >>,False
Eye Iris Dark <<,Eye Iris Dark <<,Iris des yeux foncé <<,False
Eye Dollar,Eye Dollar,Dollar pour les yeux,False
Eye Heart,Eye Heart,Oeil Coeur,False
Eye Highlight,Eye Highlight,Point culminant des yeux,False
Eyelashes,Eyelashes,Cils,False
Eye Iris Light >>,Eye Iris Light >>,Lumière de l'iris des yeux >>,False
Eye Iris Light <<,Eye Iris Light <<,Lumière de l'iris des yeux <<,False
Eye(Dum) Outline,Eye(Dum) Outline,Contour de l'oeil (Dum),False
Eye Sparkling,Eye Sparkling,Oeil pétillant,False
Eye Spiral,Eye Spiral,Spirale des yeux,False
Eye White,Eye White,Oeil blanc,False
Face Shadow,Face Shadow,Ombre à visage,False
Fin >>,Fin >>,Aileron >>,False
Fin >> Outline,Fin >> Outline,Fin >> Aperçu,False
Fin <<,Fin <<,Fin <<,False
Fin << Outline,Fin << Outline,Fin << Aperçu,False
Hair Framing >>,Hair Framing >>,Encadrement des cheveux >>,False
Hair Framing >> Outline,Hair Framing >> Outline,Encadrement des cheveux >> Aperçu,False
Hair Framing <<,Hair Framing <<,Encadrement des cheveux <<,False
Hair Framing << Outline,Hair Framing << Outline,Encadrement des cheveux << Aperçu,False
Gill,Gill,Gil,False
Gill Outline,Gill Outline,Aperçu des branchies,False
Glasses,Glasses,Lunettes,False
Hairband A,Hairband A,Bandeau A,False
Hairband A Outline,Hairband A Outline,Bandeau A Contour,False
Hairband B,Hairband B,Bandeau B,False
Hairband B Outline,Hairband B Outline,Bandeau B Contour,False
Hairband C,Hairband C,Bandeau C,False
Hairband C Outline,Hairband C Outline,Bandeau C Contour,False
Hairband D,Hairband D,Bandeau D,False
Hairband D Outline,Hairband D Outline,Bandeau D Contour,False
Hair Bang >>,Hair Bang >>,Frange de cheveux >>,False
Hair Bang >> Outline,Hair Bang >> Outline,Frange de cheveux >> Aperçu,False
Hair Bang ><,Hair Bang ><,Frange de cheveux ><,False
Hair Bang >< Outline,Hair Bang >< Outline,Frange de cheveux >< Aperçu,False
Hair Bang <<,Hair Bang <<,Frange de cheveux <<,False
Hair Bang << Outline,Hair Bang << Outline,Frange de cheveux << Aperçu,False
Hair Clip >>,Hair Clip >>,Pince à cheveux >>,False
Hair Clip >> Outline,Hair Clip >> Outline,Pince à cheveux >> Aperçu,False
Hair Clip <<,Hair Clip <<,Pince à cheveux <<,False
Hair Clip << Outline,Hair Clip << Outline,Pince à cheveux << Aperçu,False
Hair Highlight 1 >>,Hair Highlight 1 >>,Mèches de cheveux 1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Mèches de cheveux 1 >> Aperçu,False
Hair Highlight 2 >>,Hair Highlight 2 >>,Mèches de cheveux 2 >>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Mèches capillaires 2 >> Aperçu,False
Hair Highlight 3 >>,Hair Highlight 3 >>,Mèches de cheveux 3 >>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,Mèches capillaires 3 >> Aperçu,False
Hair Highlight 1 ><,Hair Highlight 1 ><,Mèches de cheveux 1 ><,False
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,Mèches de cheveux 1 >< Aperçu,False
Hair Highlight 2 ><,Hair Highlight 2 ><,Mèches de cheveux 2 ><,False
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,Mèches de cheveux 2 >< Aperçu,False
Hair Highlight 3 ><,Hair Highlight 3 ><,Mèches de cheveux 3 ><,False
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,Mèches de cheveux 3 >< Aperçu,False
Hair Highlight 4 ><,Hair Highlight 4 ><,Mèches de cheveux 4 ><,False
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,Mèches de cheveux 4 >< Aperçu,False
Hair Highlight 5 ><,Hair Highlight 5 ><,Mèches de cheveux 5 ><,False
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,Mèches de cheveux 5 >< Aperçu,False
Hair Highlight 6 ><,Hair Highlight 6 ><,Mèches de cheveux 6 ><,False
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,Mèches de cheveux 6 >< Aperçu,False
Hair Highlight 1 <<,Hair Highlight 1 <<,Mèches de cheveux 1 <<,False
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,Mèches de cheveux 1 << Aperçu,False
Hair Highlight 2 <<,Hair Highlight 2 <<,Mèches de cheveux 2 <<,False
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,Mèches de cheveux 2 << Aperçu,False
Hair Highlight 3 <<,Hair Highlight 3 <<,Mèches de cheveux 3 <<,False
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,Mèches de cheveux 3 << Aperçu,False
Hairline Outline,Hairline Outline,Contour des cheveux,False
Hair Shine,Hair Shine,Brillance des cheveux,False
Hair Shine Outline,Hair Shine Outline,Aperçu de la brillance des cheveux,False
Halo,Halo,Halo,False
Halo Outline,Halo Outline,Aperçu du halo,False
Hat,Hat,Chapeau,False
Hat Outline,Hat Outline,Aperçu du chapeau,False
Hat Secondary,Hat Secondary,Chapeau Secondaire,False
Hat Secondary Outline,Hat Secondary Outline,Contour secondaire du chapeau,False
Hammer,Hammer,Marteau,False
Ear Wing >>,Ear Wing >>,Aile d'oreille >>,False
Ear Wing >> Outline,Ear Wing >> Outline,Aile d'oreille >> Aperçu,False
Ear Wing <<,Ear Wing <<,Aile d'oreille <<,False
Ear Wing << Outline,Ear Wing << Outline,Aile d'oreille << Aperçu,False
Heart,Heart,Cœur,False
Horn >>,Horn >>,Corne >>,False
Horn >> Outline,Horn >> Outline,Corne >> Aperçu,False
Horn <<,Horn <<,Corne <<,False
Horn << Outline,Horn << Outline,Corne << Aperçu,False
Horn ><,Horn ><,Corne ><,False
Horn >< Outline,Horn >< Outline,Corne >< Aperçu,False
Jail Grill,Jail Grill,Grill de prison,False
Keyboard,Keyboard,Clavier,False
Kitchen Knife,Kitchen Knife,Couteau de cuisine,False
Laptop,Laptop,Ordinateur portable,False
Laptop Light,Laptop Light,Lumière pour ordinateur portable,False
Leg >>,Leg >>,Jambe >>,False
Leg <<,Leg <<,Jambe <<,False
Lightstick Handle,Lightstick Handle,Poignée de bâton lumineux,False
Light Stick >>,Light Stick >>,Bâton lumineux >>,False
Light Stick <<,Light Stick <<,Bâton lumineux <<,False
Mecha,Mecha,Mécha,False
Mecha >>,Mecha >>,Mécha >>,False
Mecha >> Outline,Mecha >> Outline,Mecha >> Aperçu,False
Mecha Outline,Mecha Outline,Aperçu du méca,False
Mecha <<,Mecha <<,Mécha <<,False
Mecha << Outline,Mecha << Outline,Mecha << Aperçu,False
Mouse,Mouse,Souris,False
Mouth/Tongue,Mouth/Tongue,Bouche/Langue,False
Mouth/Tongue Shadow,Mouth/Tongue Shadow,Ombre bouche/langue,False
Notepad,Notepad,Bloc-notes,False
Outfit Collar,Outfit Collar,Collier de tenue,False
Outfit Collar Outline,Outfit Collar Outline,Aperçu du col de la tenue,False
Outfit Inner,Outfit Inner,Tenue intérieure,False
Outfit Inner Outline,Outfit Inner Outline,Aperçu intérieur de la tenue,False
Outfit Neckwear A,Outfit Neckwear A,Tenue Cravate A,False
Outfit Neckwear A Outline,Outfit Neckwear A Outline,Tenue Cravates Un Contour,False
Outfit Neckwear B,Outfit Neckwear B,Tenue Cravate B,False
Outfit Neckwear B Outline,Outfit Neckwear B Outline,Tenue Cravates B Outline,False
Outfit Neckwear C,Outfit Neckwear C,Tenue Cravate C,False
Outfit Neckwear C Outline,Outfit Neckwear C Outline,Tenue Cravate C Outline,False
Outfit Outer,Outfit Outer,Tenue extérieure,False
Outfit Outer Outline,Outfit Outer Outline,Contour extérieur de la tenue,False
Pencil,Pencil,Crayon,False
Phone,Phone,Téléphone,False
Phone Light,Phone Light,Lumière du téléphone,False
Hair Pigtail >>,Hair Pigtail >>,Queue de cochon >>,False
Hair Pigtail >> Outline,Hair Pigtail >> Outline,Queue de cochon >> Aperçu,False
Hair Pigtail <<,Hair Pigtail <<,Queue de cochon <<,False
Hair Pigtail << Outline,Hair Pigtail << Outline,Queue de cochon << Aperçu,False
Rose,Rose,Rose,False
Round Sign,Round Sign,Signe rond,False
Round Sign Text,Round Sign Text,Texte de signe rond,False
Hair Side,Hair Side,Côté cheveux,False
Hair Side Outline,Hair Side Outline,Contour côté cheveux,False
Skin,Skin,Peau,False
Skin Outline,Skin Outline,Contour de la peau,False
Square Sign,Square Sign,Signe carré,False
Square Sign Text,Square Sign Text,Texte de signe carré,False
Steering Wheel,Steering Wheel,Volant,False
Gas Bottle,Gas Bottle,Bouteille de gaz,False
Pat Hand,Pat Hand,Pat Main,False
Sticker Alert,Sticker Alert,Alerte autocollant,False
Sticker Alert Effect,Sticker Alert Effect,Effet d'alerte autocollant,False
Sticker Alert Outline,Sticker Alert Outline,Aperçu de l’alerte autocollant,False
Sticker Angry,Sticker Angry,Autocollant En colère,False
Sticker Exclamation Mark,Sticker Exclamation Mark,Autocollant point d'exclamation,False
Sticker Ghost,Sticker Ghost,Autocollant Fantôme,False
Sticker Heart,Sticker Heart,Autocollant Coeur,False
Sticker Laugh,Sticker Laugh,Autocollant Rire,False
Sticker Question Mark,Sticker Question Mark,Autocollant point d'interrogation,False
Sticker Sleep,Sticker Sleep,Autocollant Sommeil,False
Sticker Star,Sticker Star,Autocollant Étoile,False
Sticker Steam,Sticker Steam,Autocollant Vapeur,False
Sticker Surprise,Sticker Surprise,Autocollant Surprise,False
Sticker Sweat,Sticker Sweat,Autocollant Sueur,False
Sticker Sweat (Large),Sticker Sweat (Large),Autocollant Sweat (Grand),False
Sticker Volume,Sticker Volume,Volume des autocollants,False
Sticky Note,Sticky Note,Pense-bête,False
Sticky Note Text,Sticky Note Text,Texte de pense-bête,False
Eye Tear,Eye Tear,Larme aux yeux,False
Utensil,Utensil,Ustensile,False
Outfit Collar String,Outfit Collar String,Chaîne de collier de tenue,False
Bell,Bell,Cloche,False
Confetti 1,Confetti 1,Confettis 1,False
Confetti 2,Confetti 2,Confettis 2,False
Confetti 3,Confetti 3,Confettis 3,False
Microphone,Microphone,Microphone,False
Gleam,Gleam,Lueur,False
Video Camera,Video Camera,Caméra vidéo,False
Point Hand,Point Hand,Pointer la main,False
Bowl,Bowl,Bol,False
Cake,Cake,Gâteau,False
Candle Fire,Candle Fire,Feu de bougie,False
Drawing Tablet,Drawing Tablet,Tablette à dessin,False
Love Letter,Love Letter,Lettre d'amour,False
Popper,Popper,Popper,False
Stylus,Stylus,Style,False
Tablet,Tablet,Comprimé,False
Musical Note 1,Musical Note 1,Note de musique 1,False
Musical Note 2,Musical Note 2,Note de musique 2,False
Phone Screen,Phone Screen,Écran du téléphone,False
Tail,Tail,Queue,False
Tail Outline,Tail Outline,Contour de la queue,False
Wing >>,Wing >>,Aile >>,False
Wing >> Outline,Wing >> Outline,Aile >> Aperçu,False
Wing <<,Wing <<,Aile <<,False
