Key,en,fr
MainMenu.TabHeaderLable.Editor,Editor,
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.",
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.",
MainMenu.Confirm,Confirm,
MainMenu.Cancel,0Cancel,
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,
MainMenu.Editor.Model,Models,
MainMenu.Editor.Character,Character,
MainMenu.Editor.Animation,Animation,
MainMenu.Editor.PartsSelection,Choose Parts,
MainMenu.Editor.PartsAdjustment,Adjustment,
MainMenu.Search,Search...,
MainMenu.Editor.SaveCharacter,Save Character,
MainMenu.Editor.Unload,Clear Character,
MainMenu.Editor.DeleteCharacter,Delete Character,
MainMenu.Editor.UseCustomTextures,Use Custom Textures,
MainMenu.Editor.ReloadTextures,Reload Textures,
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,
MainMenu.Editor.Color,Color,
MainMenu.Editor.TintColor,TintColor,
MainMenu.Editor.TintBlackColor,TintBlackColor,
MainMenu.Editor.LICENSE,LICENSE,
MainMenu.Editor.AssetTypeAA,Default Assets,
MainMenu.Editor.AssetTypeSA,Third-Party Assets,
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".",
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.",
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,
MainMenu.Settings.GeneralSettings,General Settings,
MainMenu.Settings.GeneralSettings.Language,Language,
MainMenu.Settings.ViewportSettings,Viewport Settings,
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,
