Key,en,hu
Hair Ahoge,Hair Ahoge,Haj Ahoge
Hair Ahoge Outline,Hair Ahoge Outline,Haj Ahoge vázlat
Animal Ear >>,Animal Ear >>,Állati fül >>
Animal Ear >> Fur,Animal Ear >> Fur,Állati fül >> Szőrme
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Állati fül >> Szőrme körvonala
Animal Ear >> Outline,Animal Ear >> Outline,Állati fül >> Vázlat
Animal Ear <<,Animal Ear <<,Állati fül <<
Animal Ear << Fur,Animal Ear << Fur,Állati fül << Szőrme
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Állati fül << szőrme körvonala
Animal Ear << Outline,Animal Ear << Outline,Állati fül << Vázlat
Antenna >>,Antenna >>,Antenna >>
Antenna >> Outline,Antenna >> Outline,Antenna >> Vázlat
Antenna <<,Antenna <<,Antenna <<
Antenna << Outline,Antenna << Outline,Antenna << Vázlat
Hair Rear,Hair Rear,Haj Hátsó
Hair Rear Outline,Hair Rear Outline,Haj hátsó körvonala
Beverage Cup,Beverage Cup,Italpohár
Beverage Liquid,Beverage Liquid,Folyékony ital
Beverage Liquid 2,Beverage Liquid 2,Folyékony ital 2
Bill,Bill,Számla
Blanket Inner,Blanket Inner,Belső takaró
Blanket Outter,Blanket Outter,Külső takaró
Face Blush,Face Blush,Arcpirosító
Brow >>,Brow >>,Szemöldök >>
Brow <<,Brow <<,Szemöldök <<
Chopstick,Chopstick,Pálcika
Crowbar,Crowbar,Emelőrúd
Cup,Cup,Csésze
Cup Steam,Cup Steam,Kupa Steam
Door/Wall,Door/Wall,Ajtó/fal
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Szem(Dum) Pupilla >>
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Szem(Dum) Pupilla <<
Eyebag,Eyebag,Szemtáska
Eye Iris Dark >>,Eye Iris Dark >>,Szem Iris Sötét >>
Eye Iris Dark <<,Eye Iris Dark <<,Szem Iris Sötét <<
Eye Dollar,Eye Dollar,Szem dollár
Eye Heart,Eye Heart,Szem Szív
Eye Highlight,Eye Highlight,Szemkiemelés
Eyelashes,Eyelashes,Szempilla
Eye Iris Light >>,Eye Iris Light >>,Szem írisz fénye >>
Eye Iris Light <<,Eye Iris Light <<,Eye Iris Light <<
Eye(Dum) Outline,Eye(Dum) Outline,Szem(Dum) körvonal
Eye Sparkling,Eye Sparkling,Szem csillogó
Eye Spiral,Eye Spiral,Szemspirál
Eye White,Eye White,Szem fehér
Face Shadow,Face Shadow,Arcárnyék
Fin >>,Fin >>,Fin >>
Fin >> Outline,Fin >> Outline,Fin >> Vázlat
Fin <<,Fin <<,Fin <<
Fin << Outline,Fin << Outline,Fin << Vázlat
Hair Framing >>,Hair Framing >>,Hajkeretezés >>
Hair Framing >> Outline,Hair Framing >> Outline,Hajkeretezés >> Vázlat
Hair Framing <<,Hair Framing <<,Hajkeretezés <<
Hair Framing << Outline,Hair Framing << Outline,Hajkeretezés << Vázlat
Gill,Gill,Kopoltyú
Gill Outline,Gill Outline,Gill vázlat
Glasses,Glasses,Szemüveg
Hairband A,Hairband A,Hajpánt A
Hairband A Outline,Hairband A Outline,Hajpánt Vázlat
Hairband B,Hairband B,Hajpánt B
Hairband B Outline,Hairband B Outline,Hajpánt B körvonal
Hairband C,Hairband C,Hajpánt C
Hairband C Outline,Hairband C Outline,Hajpánt C körvonal
Hairband D,Hairband D,Hajpánt D
Hairband D Outline,Hairband D Outline,Hajpánt D körvonal
Hair Bang >>,Hair Bang >>,Hair Bang >>
Hair Bang >> Outline,Hair Bang >> Outline,Hair Bang >> Vázlat
Hair Bang ><,Hair Bang ><,Hair Bang ><
Hair Bang >< Outline,Hair Bang >< Outline,Hair Bang >< Vázlat
Hair Bang <<,Hair Bang <<,Hair Bang <<
Hair Bang << Outline,Hair Bang << Outline,Hair Bang << Vázlat
Hair Clip >>,Hair Clip >>,Hajcsipesz >>
Hair Clip >> Outline,Hair Clip >> Outline,Hajcsat >> Vázlat
Hair Clip <<,Hair Clip <<,Hajcsat <<
Hair Clip << Outline,Hair Clip << Outline,Hajcsat << Vázlat
Hair Highlight 1 >>,Hair Highlight 1 >>,Hajkiemelés 1 >>
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,Hajkiemelés 1 >> Vázlat
Hair Highlight 2 >>,Hair Highlight 2 >>,Hajkiemelés 2 >>
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,Hajkiemelés 2 >> Vázlat
Hair Highlight 3 >>,Hair Highlight 3 >>,Hajkiemelés 3 >>
