Key,en,hu
Brows,Brows,Szemöldök
Ear,Ear,Fül
Eye,Eye,Szem
Base Hair,Base Hair,Alaphaj
Hair Bang >>,Hair Bang >>,Hair Bang >>
Hair Bang ><,Hair Bang ><,Hair Bang ><
Hair Bang <<,Hair Bang <<,Hair Bang <<
Hair Shine,Hair Shine,Hajfény
Hair Branch >>,Hair Branch >>,Hajág >>
Hair Branch <<,Hair Branch <<,Hajág <<
Hair Framing >>,Hair Framing >>,Hajkeretezés >>
Hair Framing <<,Hair Framing <<,Hajkeretezés <<
Hair Framing,Hair Framing,Hajkeretezés
Hair Highlight 1 >>,Hair Highlight 1 >>,Hajkiemelés 1 >>
Hair Highlight 2 >>,Hair Highlight 2 >>,Hajkiemelés 2 >>
Hair Highlight 3 >>,Hair Highlight 3 >>,Hajkiemelés 3 >>
Hair Highlight 1 ><,Hair Highlight 1 ><,Hajkiemelés 1 ><
Hair Highlight 2 ><,Hair Highlight 2 ><,Hajkiemelés 2 ><
Hair Highlight 3 ><,Hair Highlight 3 ><,Hajkiemelés 3 ><
Hair Highlight 4 ><,Hair Highlight 4 ><,Hajkiemelés 4 ><
Hair Highlight 5 ><,Hair Highlight 5 ><,Hajkiemelés 5 ><
Hair Highlight 6 ><,Hair Highlight 6 ><,Hajkiemelés 6 ><
Hair Highlight 1 <<,Hair Highlight 1 <<,Hajkiemelés 1 <<
Hair Highlight 2 <<,Hair Highlight 2 <<,Hajkiemelés 2 <<
Hair Highlight 3 <<,Hair Highlight 3 <<,Hajkiemelés 3 <<
Hair Side,Hair Side,Hajoldal
Hair Ahoge,Hair Ahoge,Haj Ahoge
Hair Rear,Hair Rear,Haj Hátsó
Hair Pigtail >>,Hair Pigtail >>,Haj Pigtail >>
Hair Pigtail <<,Hair Pigtail <<,Haj Pigtail <<
Animal Ear,Animal Ear,Állati fül
Antenna,Antenna,Antenna
Fin,Fin,Uszony
Gill,Gill,Kopoltyú
Glasses,Glasses,Szemüveg
Hairband A,Hairband A,Hajpánt A
Hairband B,Hairband B,Hajpánt B
Hairband C,Hairband C,Hajpánt C
Hairband D,Hairband D,Hajpánt D
Hair Clip >>,Hair Clip >>,Hajcsipesz >>
Hair Clip <<,Hair Clip <<,Hajcsat <<
Halo,Halo,Halo
Hat,Hat,Kalap
Ear Wing,Ear Wing,Fülszárny
Horn,Horn,Kürt
Horn Front ><,Horn Front ><,Kürt Elöl ><
Horn Front,Horn Front,Horn Front
Mecha,Mecha,Mecha
Outfit Collar Inner,Outfit Collar Inner,Outfit gallér belső
Outfit Inner,Outfit Inner,Outfit belső
Outfit Outer,Outfit Outer,Outfit Outer
Outfit Neckwear A,Outfit Neckwear A,Outfit Neckwear A
Outfit Neckwear B,Outfit Neckwear B,Outfit Neckwear B
Outfit Neckwear C,Outfit Neckwear C,Outfit Neckwear C
Hair Side Branch >> A,Hair Side Branch >> A,Haj oldalág >> A
Hair Side Branch >> B,Hair Side Branch >> B,Haj oldalág >> B
Hair Side Branch >> C,Hair Side Branch >> C,Haj oldalág >> C
Hair Side Branch << A,Hair Side Branch << A,Haj oldalág << A
Hair Side Branch << B,Hair Side Branch << B,Haj oldalág << B
Hair Side Branch << C,Hair Side Branch << C,Haj oldalág << C
