Key,en,hu,reviewed
Hair Ahoge,Hair Ahoge,Haj Ahoge,False
Hair Ahoge Outline,Hair Ahoge Outline,Haj Ahoge vázlat,False
Animal Ear >>,Animal Ear >>,Állati fül >>,False
Animal Ear >> Fur,Animal Ear >> Fur,Állati fül >> Szőrme,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Állati fül >> Szőrme körvonala,False
Animal Ear >> Outline,Animal Ear >> Outline,Állati fül >> Vázlat,False
Animal Ear <<,Animal Ear <<,Állati fül <<,False
Animal Ear << Fur,Animal Ear << Fur,Állati fül << Szőrme,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Állati fül << szőrme körvonala,False
Animal Ear << Outline,Animal Ear << Outline,Állati fül << Vázlat,False
Antenna >>,Antenna >>,Antenna >>,False
Antenna >> Outline,Antenna >> Outline,Antenna >> Vázlat,False
Antenna <<,Antenna <<,Antenna <<,False
Antenna << Outline,Antenna << Outline,Antenna << Vázlat,False
Hair Rear,Hair Rear,Haj Hátsó,False
Hair Rear Outline,Hair Rear Outline,Haj hátsó körvonala,False
Beverage Cup,Beverage Cup,Italpohár,False
Beverage Liquid,Beverage Liquid,Folyékony ital,False
Beverage Liquid 2,Beverage Liquid 2,Folyékony ital 2,False
Bill,Bill,Számla,False
Blanket Inner,Blanket Inner,Belső takaró,False
Blanket Outter,Blanket Outter,Külső takaró,False
Face Blush,Face Blush,Arcpirosító,False
Brow >>,Brow >>,Szemöldök >>,False
Brow <<,Brow <<,Szemöldök <<,False
Chopstick,Chopstick,Pálcika,False
Crowbar,Crowbar,Emelőrúd,False
Cup,Cup,Csésze,False
Cup Steam,Cup Steam,Kupa Steam,False
Door/Wall,Door/Wall,Ajtó/fal,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Szem(Dum) Pupilla >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Szem(Dum) Pupilla <<,False
Eyebag,Eyebag,Szemtáska,False
Eye Iris Dark >>,Eye Iris Dark >>,Szem Iris Sötét >>,False
Eye Iris Dark <<,Eye Iris Dark <<,Szem Iris Sötét <<,False
Eye Dollar,Eye Dollar,Szem dollár,False
Eye Heart,Eye Heart,Szem Szív,False
Eye Highlight,Eye Highlight,Szemkiemelés,False
Eyelashes,Eyelashes,Szempilla,False
Eye Iris Light >>,Eye Iris Light >>,Szem írisz fénye >>,False
Eye Iris Light <<,Eye Iris Light <<,Eye Iris Light <<,False
Eye(Dum) Outline,Eye(Dum) Outline,Szem(Dum) körvonal,False
Eye Sparkling,Eye Sparkling,Szem csillogó,False
Eye Spiral,Eye Spiral,Szemspirál,False
Eye White,Eye White,Szem fehér,False
Face Shadow,Face Shadow,Arcárnyék,False
Fin >>,Fin >>,Fin >>,False
Fin >> Outline,Fin >> Outline,Fin >> Vázlat,False
Fin <<,Fin <<,Fin <<,False
Fin << Outline,Fin << Outline,Fin << Vázlat,False
Hair Framing >>,Hair Framing >>,Hajkeretezés >>,False
Hair Framing >> Outline,Hair Framing >> Outline,Hajkeretezés >> Vázlat,False
Hair Framing <<,Hair Framing <<,Hajkeretezés <<,False
Hair Framing << Outline,Hair Framing << Outline,Hajkeretezés << Vázlat,False
Gill,Gill,Kopoltyú,False
Gill Outline,Gill Outline,Gill vázlat,False
Glasses,Glasses,Szemüveg,False
Hairband A,Hairband A,Hajpánt A,False
Hairband A Outline,Hairband A Outline,Hajpánt Vázlat,False
Hairband B,Hairband B,Hajpánt B,False
Hairband B Outline,Hairband B Outline,Hajpánt B körvonal,False
Hairband C,Hairband C,Hajpánt C,False
Hairband C Outline,Hairband C Outline,Hajpánt C körvonal,False
