Key,en,ja
Hair Ahoge,Hair Ahoge,アホ毛
Hair Ahoge Outline,Hair Ahoge Outline,アホ毛の概要
Animal Ear >>,Animal Ear >>,獣耳 >>
Animal Ear >> Fur,Animal Ear >> Fur,獣耳 >> 毛皮
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,獣耳 >> 毛皮の概要
Animal Ear >> Outline,Animal Ear >> Outline,獣耳 >> 概要
Animal Ear <<,Animal Ear <<,獣耳 <<
Animal Ear << Fur,Animal Ear << Fur,獣耳 << 毛皮
Animal Ear << Fur Outline,Animal Ear << Fur Outline,獣耳 << 毛皮の輪郭
Animal Ear << Outline,Animal Ear << Outline,獣耳 << 概要
Antenna >>,Antenna >>,アンテナ >>
Antenna >> Outline,Antenna >> Outline,アンテナ >> 概要
Antenna <<,Antenna <<,アンテナ <<
Antenna << Outline,Antenna << Outline,アンテナ << 概要
Hair Rear,Hair Rear,後ろ髪
Hair Rear Outline,Hair Rear Outline,髪の毛後ろの輪郭
Beverage Cup,Beverage Cup,ドリンクカップ
Beverage Liquid,Beverage Liquid,液体飲料
Beverage Liquid 2,Beverage Liquid 2,飲料液2
Bill,Bill,請求書
Blanket Inner,Blanket Inner,ブランケットインナー
Blanket Outter,Blanket Outter,ブランケットアウター
Face Blush,Face Blush,フェイスブラッシュ
Brow >>,Brow >>,眉 >>
Brow <<,Brow <<,眉 <<
Chopstick,Chopstick,箸
Crowbar,Crowbar,バール
Cup,Cup,カップ
Cup Steam,Cup Steam,カップスチーム
Door/Wall,Door/Wall,ドア/壁
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,目（ダム）瞳孔 >>
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,目（ダム）瞳孔 <<
Eyebag,Eyebag,目袋
Eye Iris Dark >>,Eye Iris Dark >>,アイリスダーク >>
Eye Iris Dark <<,Eye Iris Dark <<,アイリスダーク <<
Eye Dollar,Eye Dollar,アイダラー
Eye Heart,Eye Heart,アイハート
Eye Highlight,Eye Highlight,アイハイライト
Eyelashes,Eyelashes,睫毛
Eye Iris Light >>,Eye Iris Light >>,アイリスライト >>
Eye Iris Light <<,Eye Iris Light <<,アイリスライト <<
Eye(Dum) Outline,Eye(Dum) Outline,目（ダム）の輪郭
Eye Sparkling,Eye Sparkling,キラキラした瞳
Eye Spiral,Eye Spiral,アイスパイラル
Eye White,Eye White,アイホワイト
Face Shadow,Face Shadow,フェイスシャドウ
Fin >>,Fin >>,フィン >>
Fin >> Outline,Fin >> Outline,フィン >> 概要
Fin <<,Fin <<,フィン <<
Fin << Outline,Fin << Outline,フィン << 概要
