Key,en,ja,reviewed
Hair Ahoge,Hair Ahoge,アホ毛,True
Hair Ahoge Outline,Hair Ahoge Outline,アホ毛 輪郭,True
Animal Ear >>,Animal Ear >>,ケモ耳 >>,True
Animal Ear >> Fur,Animal Ear >> Fur,ケモ耳 毛 >>,True
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,ケモ耳 毛 輪郭 >>,True
Animal Ear >> Outline,Animal Ear >> Outline,ケモ耳 輪郭 >>,True
Animal Ear <<,Animal Ear <<,ケモ耳 <<,True
Animal Ear << Fur,Animal Ear << Fur,ケモ耳 毛 <<,True
Animal Ear << Fur Outline,Animal Ear << Fur Outline,ケモ耳 毛 輪郭 <<,True
Animal Ear << Outline,Animal Ear << Outline,ケモ耳 輪郭 <<,True
Antenna >>,Antenna >>,アンテナ >>,True
Antenna >> Outline,Antenna >> Outline,アンテナ 輪郭 >>,True
Antenna <<,Antenna <<,アンテナ <<,True
Antenna << Outline,Antenna << Outline,アンテナ 輪郭 <<,True
Hair Rear,Hair Rear,後ろ髪,True
Hair Rear Outline,Hair Rear Outline,後ろ髪 輪郭,True
Beverage Cup,Beverage Cup,飲み物のカップ,True
Beverage Liquid,Beverage Liquid,飲み物,True
Beverage Liquid 2,Beverage Liquid 2,飲み物2,True
Bill,Bill,紙幣,True
Blanket Inner,Blanket Inner,ブランケット内側,True
Blanket Outter,Blanket Outter,ブランケット外側,True
Face Blush,Face Blush,頬の赤み,True
Brow >>,Brow >>,眉 >>,True
Brow <<,Brow <<,眉 <<,True
Chopstick,Chopstick,お箸,True
Crowbar,Crowbar,バール,True
Cup,Cup,カップ,True
Cup Steam,Cup Steam,湯気,True
Door/Wall,Door/Wall,ドア／壁,True
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,ほげ目 瞳 >>,True
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,ほげ目 瞳 <<,True
Eyebag,Eyebag,目のクマ,True
Eye Iris Dark >>,Eye Iris Dark >>,虹彩 濃 >>,True
Eye Iris Dark <<,Eye Iris Dark <<,虹彩 濃 <<,True
Eye Dollar,Eye Dollar,お金の目,True
Eye Heart,Eye Heart,ハート目,True
Eye Highlight,Eye Highlight,目ハイライト,True
Eyelashes,Eyelashes,まつげ,True
Eye Iris Light >>,Eye Iris Light >>,虹彩 淡 >>,True
Eye Iris Light <<,Eye Iris Light <<,虹彩 淡 <<,True
Eye(Dum) Outline,Eye(Dum) Outline,ほげ目 輪郭,True
Eye Sparkling,Eye Sparkling,キラキラ目,True
Eye Spiral,Eye Spiral,ぐるぐる目,True
Eye White,Eye White,白目,True
Face Shadow,Face Shadow,顔影,True
Fin >>,Fin >>,ヒレ >>,True
Fin >> Outline,Fin >> Outline,ヒレ 輪郭 >>,True
Fin <<,Fin <<,ヒレ <<,True
Fin << Outline,Fin << Outline,ヒレ 輪郭 <<,True
Hair Framing >>,Hair Framing >>,顔まわり髪 >>,True
Hair Framing >> Outline,Hair Framing >> Outline,顔まわり髪 輪郭 >>,True
Hair Framing <<,Hair Framing <<,顔まわり髪 <<,True
Hair Framing << Outline,Hair Framing << Outline,顔まわり髪 輪郭 <<,True
Gill,Gill,エラ,True
Gill Outline,Gill Outline,エラ 輪郭,True
Glasses,Glasses,メガネ,True
Hairband A,Hairband A,ヘアバンドA,True
Hairband A Outline,Hairband A Outline,ヘアバンドA 輪郭,True
Hairband B,Hairband B,ヘアバンドB,True
Hairband B Outline,Hairband B Outline,ヘアバンドB 輪郭,True
Hairband C,Hairband C,ヘアバンドC,True
Hairband C Outline,Hairband C Outline,ヘアバンドC 輪郭,True
Hairband D,Hairband D,ヘアバンドD,True
Hairband D Outline,Hairband D Outline,ヘアバンドD 輪郭,True
Hair Bang >>,Hair Bang >>,前髪 >>,True
Hair Bang >> Outline,Hair Bang >> Outline,前髪 輪郭 >>,True
Hair Bang ><,Hair Bang ><,前髪 中央,True
Hair Bang >< Outline,Hair Bang >< Outline,前髪 中央 輪郭,True
Hair Bang <<,Hair Bang <<,前髪 <<,True
Hair Bang << Outline,Hair Bang << Outline,前髪 輪郭 <<,True
Hair Clip >>,Hair Clip >>,ヘアクリップ >>,True
Hair Clip >> Outline,Hair Clip >> Outline,ヘアクリップ 輪郭 >>,True
Hair Clip <<,Hair Clip <<,ヘアクリップ <<,True
Hair Clip << Outline,Hair Clip << Outline,ヘアクリップ 輪郭 <<,True
Hair Highlight 1 >>,Hair Highlight 1 >>,髪ハイライト1 >>,True
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,髪ハイライト1 輪郭 >>,True
Hair Highlight 2 >>,Hair Highlight 2 >>,髪ハイライト2 >>,True
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,髪ハイライト2 輪郭 >>,True
Hair Highlight 3 >>,Hair Highlight 3 >>,髪ハイライト3 >>,True
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,髪ハイライト3 輪郭 >>,True
Hair Highlight 1 ><,Hair Highlight 1 ><,髪ハイライト1 中央,True
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,髪ハイライト1 中央 輪郭,True
Hair Highlight 2 ><,Hair Highlight 2 ><,髪ハイライト2 中央,True
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,髪ハイライト2 中央 輪郭,True
Hair Highlight 3 ><,Hair Highlight 3 ><,髪ハイライト3 中央,True
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,髪ハイライト3 中央 輪郭,True
Hair Highlight 4 ><,Hair Highlight 4 ><,髪ハイライト4 中央,True
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,髪ハイライト4 中央 輪郭,True
Hair Highlight 5 ><,Hair Highlight 5 ><,髪ハイライト5 中央,True
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,髪ハイライト5 中央 輪郭,True
Hair Highlight 6 ><,Hair Highlight 6 ><,髪ハイライト6 中央,True
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,髪ハイライト6 中央 輪郭,True
Hair Highlight 1 <<,Hair Highlight 1 <<,髪ハイライト1 <<,True
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,髪ハイライト1 輪郭 <<,True
Hair Highlight 2 <<,Hair Highlight 2 <<,髪ハイライト2 <<,True
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,髪ハイライト2 輪郭 <<,True
Hair Highlight 3 <<,Hair Highlight 3 <<,髪ハイライト3 <<,True
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,髪ハイライト3 輪郭 <<,True
Hairline Outline,Hairline Outline,生え際 輪郭,True
Hair Shine,Hair Shine,髪ツヤ,True
Hair Shine Outline,Hair Shine Outline,髪ツヤ 輪郭,True
Halo,Halo,天使の輪,True
Halo Outline,Halo Outline,天使の輪 輪郭,True
Hat,Hat,帽子,True
Hat Outline,Hat Outline,帽子 輪郭,True
Hat Secondary,Hat Secondary,帽子パーツ,True
Hat Secondary Outline,Hat Secondary Outline,帽子パーツ 輪郭,True
Hammer,Hammer,ハンマー,True
Ear Wing >>,Ear Wing >>,耳羽 >>,True
Ear Wing >> Outline,Ear Wing >> Outline,耳羽 輪郭 >>,True
Ear Wing <<,Ear Wing <<,耳羽 <<,True
Ear Wing << Outline,Ear Wing << Outline,耳羽 輪郭 <<,True
Heart,Heart,ハート,True
Horn >>,Horn >>,角 >>,True
Horn >> Outline,Horn >> Outline,角 輪郭 >>,True
Horn <<,Horn <<,角 <<,True
Horn << Outline,Horn << Outline,角 輪郭 <<,True
Horn ><,Horn ><,角 中央,True
Horn >< Outline,Horn >< Outline,角 中央 輪郭,True
Jail Grill,Jail Grill,牢屋格子,True
Keyboard,Keyboard,キーボード,True
Kitchen Knife,Kitchen Knife,包丁,True
Laptop,Laptop,ノートPC,True
Laptop Light,Laptop Light,ノートPCライト,True
Leg >>,Leg >>,脚 >>,True
Leg <<,Leg <<,脚 <<,True
Lightstick Handle,Lightstick Handle,ペンライト持ち手,True
Light Stick >>,Light Stick >>,ペンライト >>,True
Light Stick <<,Light Stick <<,ペンライト <<,True
Mecha,Mecha,メカ,True
Mecha >>,Mecha >>,メカ >>,True
Mecha >> Outline,Mecha >> Outline,メカ 輪郭 >>,True
Mecha Outline,Mecha Outline,メカ 輪郭,True
Mecha <<,Mecha <<,メカ <<,True
Mecha << Outline,Mecha << Outline,メカ 輪郭 <<,True
Mouse,Mouse,マウス,True
Mouth/Tongue,Mouth/Tongue,口／舌,True
Mouth/Tongue Shadow,Mouth/Tongue Shadow,口／舌 影,True
Notepad,Notepad,メモ帳,True
Outfit Collar,Outfit Collar,襟,True
Outfit Collar Outline,Outfit Collar Outline,襟 輪郭,True
Outfit Inner,Outfit Inner,服 内側,True
Outfit Inner Outline,Outfit Inner Outline,服 内側 輪郭,True
Outfit Neckwear A,Outfit Neckwear A,ネックウェアA,True
Outfit Neckwear A Outline,Outfit Neckwear A Outline,ネックウェアA 輪郭,True
Outfit Neckwear B,Outfit Neckwear B,ネックウェアB,True
Outfit Neckwear B Outline,Outfit Neckwear B Outline,ネックウェアB 輪郭,True
Outfit Neckwear C,Outfit Neckwear C,ネックウェアC,True
Outfit Neckwear C Outline,Outfit Neckwear C Outline,ネックウェアC 輪郭,True
Outfit Outer,Outfit Outer,服 外側,True
Outfit Outer Outline,Outfit Outer Outline,服 外側 輪郭,True
Pencil,Pencil,鉛筆,True
Phone,Phone,スマホ,True
Phone Light,Phone Light,スマホライト,True
Hair Pigtail >>,Hair Pigtail >>,おさげ >>,True
Hair Pigtail >> Outline,Hair Pigtail >> Outline,おさげ 輪郭 >>,True
Hair Pigtail <<,Hair Pigtail <<,おさげ <<,True
Hair Pigtail << Outline,Hair Pigtail << Outline,おさげ 輪郭 <<,True
Rose,Rose,バラ,True
Round Sign,Round Sign,採点棒,True
Round Sign Text,Round Sign Text,採点棒の文字,True
Hair Side,Hair Side,横髪,True
Hair Side Outline,Hair Side Outline,横髪 輪郭,True
Skin,Skin,肌,True
Skin Outline,Skin Outline,肌 輪郭,True
Square Sign,Square Sign,手持ち看板,True
Square Sign Text,Square Sign Text,手持ち看板の文字,True
Steering Wheel,Steering Wheel,ハンドル,True
Gas Bottle,Gas Bottle,ガスボンベ,True
