Key,en,ja,reviewed
MainMenu.TabHeaderLable.Editor,Editor,エディター,True
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","キャラクター「{0}」を削除しますか？この操作は元に戻せません。",True
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","キャラクター「{0}」はすでに存在します。上書きしますか？この操作は元に戻せません。",True
MainMenu.Confirm,Confirm,確認,True
MainMenu.Cancel,Cancel,キャンセル,True
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,キャラクター名を入力してください,True
MainMenu.Editor.Model,Models,モデル,True
MainMenu.Editor.Character,Character,キャラクター,True
MainMenu.Editor.Animation,Animation,アニメーション,True
MainMenu.Editor.PartsSelection,Choose Parts,パーツ選択,True
MainMenu.Editor.PartsAdjustment,Adjustment,調整,True
MainMenu.Search,Search...,検索…,True
MainMenu.Editor.SaveCharacter,Save Character,キャラクターを保存,True
MainMenu.Editor.Unload,Clear Character,キャラクターをクリア,True
MainMenu.Editor.DeleteCharacter,Delete Character,キャラクターを削除,True
MainMenu.Editor.UseCustomTextures,Use Custom Textures,カスタムテクスチャを使用,True
MainMenu.Editor.ReloadTextures,Reload Textures,テクスチャを再読み込み,True
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,カスタムテクスチャフォルダーを開く,True
MainMenu.Editor.Color,Color,色,True
MainMenu.Editor.TintColor,TintColor,色合い,True
MainMenu.Editor.TintBlackColor,TintBlackColor,黒の色合い,True
MainMenu.Editor.LICENSE,LICENSE,ライセンス,True
MainMenu.Editor.AssetTypeAA,Default Assets,標準アセット,True
MainMenu.Editor.AssetTypeSA,Third-Party Assets,外部アセット,True
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,名前は空にできません,True
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,名前は{0}文字以内で入力してください,True
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".","名前に「{0}」は使用できません",True
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.","「{0}」は予約済みキーワードのため使用できません",True
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,名前をドットで終えることはできません,True
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,名前を空白のみにはできません,True
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,モデルの読み込みを解除,True
MainMenu.Settings.GeneralSettings,General Settings,一般設定,True
MainMenu.Settings.GeneralSettings.Language,Language,言語,True
MainMenu.Settings.ViewportSettings,Viewport Settings,ビューポート設定,True
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,ズーム速度,True
MainMenu.Settings.ViewportSettings.ViewportRotationSpeed,Rotation Speed,回転速度,True
MainMenu.Settings.ViewportSettings.ModelScale,Model Scale,モデルスケール,True
MainMenu.Settings.ViewportSettings.ModelOffsetHorizontal,Offset Horizontal,水平オフセット,True
MainMenu.Settings.ViewportSettings.ModelOffsetVertical,Offset Vertical,垂直オフセット,True
MainMenu.Settings.ViewportSettings.ResetViewportSettings,Reset Viewport Settings,ビューポート設定をリセット,True
MainMenu.Settings.ExportSettings,Animation Export Settings,アニメーション書き出し設定,True
MainMenu.Settings.ExportSettings.SaveLocation,Save Location,保存先,True
MainMenu.Settings.ExportSettings.ExportPresets,Export Presets,書き出しプリセット,True
MainMenu.Settings.ExportSettings.Encoder,Encoder,エンコーダー,True
MainMenu.Settings.ExportSettings.Width,Width,幅,True
MainMenu.Settings.ExportSettings.Height,Height,高さ,True
MainMenu.Settings.ExportSettings.FPS,FPS,FPS,True
MainMenu.Settings.ExportSettings.LimitMaxFrameCount,Limit Max. Frame Count,最大フレーム数を制限,True
MainMenu.Settings.ExportSettings.MaxFrameCount,Max. Frame Count,最大フレーム数,True
MainMenu.Settings.ExportSettings.AlphaThreshold,Alpha Threshold,アルファしきい値,True
MainMenu.Settings.ExportSettings.EnableDithering,Enable Dithering,ディザリングを有効化,True
MainMenu.Settings.ExportSettings.ResetExportSettings,Reset Export Settings,書き出し設定をリセット,True
