Key,en,ko
Hair Ahoge,Hair Ahoge,헤어 아호게
Hair Ahoge Outline,Hair Ahoge Outline,헤어 아호게 윤곽선
Animal Ear >>,Animal Ear >>,동물의 귀 >>
Animal Ear >> Fur,Animal Ear >> Fur,동물의 귀 >> 모피
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,동물의 귀 >> 모피 개요
Animal Ear >> Outline,Animal Ear >> Outline,동물의 귀 >> 개요
Animal Ear <<,Animal Ear <<,동물의 귀 <<
Animal Ear << Fur,Animal Ear << Fur,동물의 귀 << 모피
Animal Ear << Fur Outline,Animal Ear << Fur Outline,동물 귀 << 모피 개요
Animal Ear << Outline,Animal Ear << Outline,동물의 귀 << 개요
Antenna >>,Antenna >>,안테나 >>
Antenna >> Outline,Antenna >> Outline,안테나 >> 개요
Antenna <<,Antenna <<,안테나 <<
Antenna << Outline,Antenna << Outline,안테나 << 개요
Hair Rear,Hair Rear,헤어 리어
Hair Rear Outline,Hair Rear Outline,헤어 후면 윤곽선
Beverage Cup,Beverage Cup,음료 컵
Beverage Liquid,Beverage Liquid,음료수 액체
Beverage Liquid 2,Beverage Liquid 2,음료수 2
Bill,Bill,청구서
Blanket Inner,Blanket Inner,담요 내부
Blanket Outter,Blanket Outter,담요 외부
Face Blush,Face Blush,페이스 블러셔
Brow >>,Brow >>,눈썹 >>
Brow <<,Brow <<,눈썹 <<
Chopstick,Chopstick,젓가락
Crowbar,Crowbar,바
Cup,Cup,컵
Cup Steam,Cup Steam,컵 스팀
Door/Wall,Door/Wall,문/벽
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,눈(Dum) 눈동자 >>
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,눈(덤) 동공 <<
Eyebag,Eyebag,아이백
Eye Iris Dark >>,Eye Iris Dark >>,아이 아이리스 다크 >>
Eye Iris Dark <<,Eye Iris Dark <<,눈 홍채 다크 <<
Eye Dollar,Eye Dollar,아이달러
Eye Heart,Eye Heart,아이하트
Eye Highlight,Eye Highlight,아이 하이라이트
Eyelashes,Eyelashes,속눈썹
Eye Iris Light >>,Eye Iris Light >>,눈 홍채 라이트 >>
