Key,en,ko
Brows,Brows,눈썹
Ear,Ear,귀
Eye,Eye,눈
Base Hair,Base Hair,베이스 헤어
Hair Bang >>,Hair Bang >>,헤어뱅 >>
Hair Bang ><,Hair Bang ><,헤어뱅 ><
Hair Bang <<,Hair Bang <<,헤어뱅 <<
Hair Shine,Hair Shine,헤어 샤인
Hair Branch >>,Hair Branch >>,헤어 브랜치 >>
Hair Branch <<,Hair Branch <<,헤어 브랜치 <<
Hair Framing >>,Hair Framing >>,헤어 프레이밍 >>
Hair Framing <<,Hair Framing <<,헤어 프레이밍 <<
Hair Framing,Hair Framing,헤어 프레이밍
Hair Highlight 1 >>,Hair Highlight 1 >>,헤어 하이라이트 1 >>
Hair Highlight 2 >>,Hair Highlight 2 >>,헤어 하이라이트 2 >>
Hair Highlight 3 >>,Hair Highlight 3 >>,헤어 하이라이트 3 >>
Hair Highlight 1 ><,Hair Highlight 1 ><,헤어하이라이트 1 ><
Hair Highlight 2 ><,Hair Highlight 2 ><,헤어하이라이트 2 ><
Hair Highlight 3 ><,Hair Highlight 3 ><,헤어하이라이트 3 ><
Hair Highlight 4 ><,Hair Highlight 4 ><,헤어하이라이트 4 ><
Hair Highlight 5 ><,Hair Highlight 5 ><,헤어하이라이트 5 ><
Hair Highlight 6 ><,Hair Highlight 6 ><,헤어하이라이트 6 ><
Hair Highlight 1 <<,Hair Highlight 1 <<,헤어 하이라이트 1 <<
Hair Highlight 2 <<,Hair Highlight 2 <<,헤어 하이라이트 2 <<
Hair Highlight 3 <<,Hair Highlight 3 <<,헤어 하이라이트 3 <<
Hair Side,Hair Side,헤어사이드
Hair Ahoge,Hair Ahoge,헤어 아호게
Hair Rear,Hair Rear,헤어 리어
Hair Pigtail >>,Hair Pigtail >>,헤어 피그테일 >>
Hair Pigtail <<,Hair Pigtail <<,머리 땋은 머리 <<
Animal Ear,Animal Ear,동물의 귀
Antenna,Antenna,안테나
Fin,Fin,지느러미
Gill,Gill,아가미
Glasses,Glasses,안경
Hairband A,Hairband A,헤어밴드A
Hairband B,Hairband B,헤어밴드B
Hairband C,Hairband C,헤어밴드 C
Hairband D,Hairband D,헤어밴드 D
Hair Clip >>,Hair Clip >>,헤어클립 >>
Hair Clip <<,Hair Clip <<,헤어클립 <<
Halo,Halo,후광
Hat,Hat,모자
Ear Wing,Ear Wing,귀 날개
Horn,Horn,뿔
Horn Front ><,Horn Front ><,혼 프론트 ><
Horn Front,Horn Front,혼 프론트
Mecha,Mecha,메카
Outfit Collar Inner,Outfit Collar Inner,의상 칼라 내부
Outfit Inner,Outfit Inner,의상 내부
Outfit Outer,Outfit Outer,의상 아우터
Outfit Neckwear A,Outfit Neckwear A,아웃핏 넥웨어 A
Outfit Neckwear B,Outfit Neckwear B,아웃핏 넥웨어 B
Outfit Neckwear C,Outfit Neckwear C,아웃핏 넥웨어 C
Hair Side Branch >> A,Hair Side Branch >> A,헤어사이드 브랜치 >> A
Hair Side Branch >> B,Hair Side Branch >> B,헤어사이드브랜치 >> B
Hair Side Branch >> C,Hair Side Branch >> C,헤어사이드 브랜치 >> C
Hair Side Branch << A,Hair Side Branch << A,헤어사이드 브랜치 << A
Hair Side Branch << B,Hair Side Branch << B,헤어사이드 브랜치 << B
Hair Side Branch << C,Hair Side Branch << C,헤어사이드 브랜치 << C
