Key,en,ko,reviewed
Hair Ahoge,Hair Ahoge,헤어 아호게,False
Hair Ahoge Outline,Hair Ahoge Outline,헤어 아호게 윤곽선,False
Animal Ear >>,Animal Ear >>,동물의 귀 >>,False
Animal Ear >> Fur,Animal Ear >> Fur,동물의 귀 >> 모피,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,동물의 귀 >> 모피 개요,False
Animal Ear >> Outline,Animal Ear >> Outline,동물의 귀 >> 개요,False
Animal Ear <<,Animal Ear <<,동물의 귀 <<,False
Animal Ear << Fur,Animal Ear << Fur,동물의 귀 << 모피,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,동물 귀 << 모피 개요,False
Animal Ear << Outline,Animal Ear << Outline,동물의 귀 << 개요,False
Antenna >>,Antenna >>,안테나 >>,False
Antenna >> Outline,Antenna >> Outline,안테나 >> 개요,False
Antenna <<,Antenna <<,안테나 <<,False
Antenna << Outline,Antenna << Outline,안테나 << 개요,False
Hair Rear,Hair Rear,헤어 리어,False
Hair Rear Outline,Hair Rear Outline,헤어 후면 윤곽선,False
Beverage Cup,Beverage Cup,음료 컵,False
Beverage Liquid,Beverage Liquid,음료수 액체,False
Beverage Liquid 2,Beverage Liquid 2,음료수 2,False
Bill,Bill,청구서,False
Blanket Inner,Blanket Inner,담요 내부,False
Blanket Outter,Blanket Outter,담요 외부,False
Face Blush,Face Blush,페이스 블러셔,False
Brow >>,Brow >>,눈썹 >>,False
Brow <<,Brow <<,눈썹 <<,False
Chopstick,Chopstick,젓가락,False
Crowbar,Crowbar,바,False
Cup,Cup,컵,False
Cup Steam,Cup Steam,컵 스팀,False
Door/Wall,Door/Wall,문/벽,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,눈(Dum) 눈동자 >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,눈(덤) 동공 <<,False
Eyebag,Eyebag,아이백,False
Eye Iris Dark >>,Eye Iris Dark >>,아이 아이리스 다크 >>,False
Eye Iris Dark <<,Eye Iris Dark <<,눈 홍채 다크 <<,False
Eye Dollar,Eye Dollar,아이달러,False
Eye Heart,Eye Heart,아이하트,False
Eye Highlight,Eye Highlight,아이 하이라이트,False
Eyelashes,Eyelashes,속눈썹,False
Eye Iris Light >>,Eye Iris Light >>,눈 홍채 라이트 >>,False
Eye Iris Light <<,Eye Iris Light <<,눈 홍채 빛 <<,False
Eye(Dum) Outline,Eye(Dum) Outline,눈(Dum) 외곽선,False
Eye Sparkling,Eye Sparkling,눈 반짝임,False
Eye Spiral,Eye Spiral,눈 나선형,False
Eye White,Eye White,눈 흰자,False
Face Shadow,Face Shadow,페이스 섀도우,False
Fin >>,Fin >>,핀 >>,False
Fin >> Outline,Fin >> Outline,핀 >> 개요,False
Fin <<,Fin <<,핀 <<,False
Fin << Outline,Fin << Outline,핀 << 개요,False
Hair Framing >>,Hair Framing >>,헤어 프레이밍 >>,False
Hair Framing >> Outline,Hair Framing >> Outline,헤어 프레이밍 >> 개요,False
Hair Framing <<,Hair Framing <<,헤어 프레이밍 <<,False
