Key,en,ru,reviewed
Hair Ahoge,Hair Ahoge,Волосы Ахоге,False
Hair Ahoge Outline,Hair Ahoge Outline,Наброски волос Ахоге,False
Animal Ear >>,Animal Ear >>,Ухо животного >>,False
Animal Ear >> Fur,Animal Ear >> Fur,Уши животных >> Мех,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,Ухо животного >> Контур меха,False
Animal Ear >> Outline,Animal Ear >> Outline,Ухо животного >> Схема,False
Animal Ear <<,Animal Ear <<,Ухо животного <<,False
Animal Ear << Fur,Animal Ear << Fur,Ухо животного << Мех,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,Ухо животного << Контур меха,False
Animal Ear << Outline,Animal Ear << Outline,Ухо животного << Схема,False
Antenna >>,Antenna >>,Антенна >>,False
Antenna >> Outline,Antenna >> Outline,Антенна >> Схема,False
Antenna <<,Antenna <<,Антенна <<,False
Antenna << Outline,Antenna << Outline,Антенна << Схема,False
Hair Rear,Hair Rear,Волосы сзади,False
Hair Rear Outline,Hair Rear Outline,Контур волос сзади,False
Beverage Cup,Beverage Cup,Кубок для напитков,False
Beverage Liquid,Beverage Liquid,жидкость для напитков,False
Beverage Liquid 2,Beverage Liquid 2,Жидкость для напитков 2,False
Bill,Bill,Счет,False
Blanket Inner,Blanket Inner,Одеяло внутреннее,False
Blanket Outter,Blanket Outter,Одеяло наружное,False
Face Blush,Face Blush,Румяна для лица,False
Brow >>,Brow >>,Брови >>,False
Brow <<,Brow <<,Брови <<,False
Chopstick,Chopstick,Палочки для еды,False
Crowbar,Crowbar,лом,False
Cup,Cup,Чашка,False
Cup Steam,Cup Steam,Кубок Паровой,False
Door/Wall,Door/Wall,Дверь/Стена,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,Глаз(Дум) Зрачок >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,Глаз (Дум) Зрачок <<,False
Eyebag,Eyebag,Мешок для глаз,False
Eye Iris Dark >>,Eye Iris Dark >>,Глаза Ирис Темные >>,False
Eye Iris Dark <<,Eye Iris Dark <<,Глаза Радужная оболочка Темные <<,False
Eye Dollar,Eye Dollar,Глаз доллара,False
Eye Heart,Eye Heart,Глаз Сердце,False
Eye Highlight,Eye Highlight,Выделение глаз,False
Eyelashes,Eyelashes,Ресницы,False
Eye Iris Light >>,Eye Iris Light >>,Глаза Ирис Светлый >>,False
Eye Iris Light <<,Eye Iris Light <<,Глаза Ирис Светлый <<,False
Eye(Dum) Outline,Eye(Dum) Outline,Контур глаза (дум),False
Eye Sparkling,Eye Sparkling,Сверкающие глаза,False
Eye Spiral,Eye Spiral,Глазная спираль,False
Eye White,Eye White,Глаз Белый,False
Face Shadow,Face Shadow,Тень для лица,False
Fin >>,Fin >>,Фин >>,False
Fin >> Outline,Fin >> Outline,Фин >> Схема,False
Fin <<,Fin <<,Фин <<,False
Fin << Outline,Fin << Outline,Плавник << Схема,False
Hair Framing >>,Hair Framing >>,Оформление волос >>,False
Hair Framing >> Outline,Hair Framing >> Outline,Оформление волос >> Схема,False
Hair Framing <<,Hair Framing <<,Оформление волос <<,False
Hair Framing << Outline,Hair Framing << Outline,Оформление волос << Схема,False
Gill,Gill,Джилл,False
Gill Outline,Gill Outline,Схема Джилла,False
Glasses,Glasses,Очки,False
Hairband A,Hairband A,Лента для волос А,False
Hairband A Outline,Hairband A Outline,Лента для волос A Outline,False
Hairband B,Hairband B,Лента для волос Б,False
Hairband B Outline,Hairband B Outline,Лента для волос B. Контур,False
Hairband C,Hairband C,Повязка для волос С,False
Hairband C Outline,Hairband C Outline,Лента для волос C. Контур,False
Hairband D,Hairband D,Ободок для волос D,False
Hairband D Outline,Hairband D Outline,Повязка для волос D Outline,False
