Key,en,th,reviewed
Alert Bits,Alert Bits,Alert Bits,True
Alert Donation,Alert Donation,Alert โดเนท,True
Alert Heart,Alert Heart,Alert หัวใจ,True
Alert Like,Alert Like,Alert ไลค์,True
Alert Star,Alert Star,Alert ดาว,True
Angry,Angry,โกรธ,True
Arrive,Arrive,เดินมาหา,True
Arrive (with Chopstick),Arrive (with Chopstick),เดินมาหา (ตะเกียบ),True
Arrive (with Spoon),Arrive (with Spoon),เดินมาหา (ช้อน),True
Bonk,Bonk,ทุบ / Bonk,True
Copium,Copium,ทำใจ,True
Crowbar 1,Crowbar 1,ชะแลง 1,True
Crowbar 2,Crowbar 2,ชะแลง 2,True
Crowbar 3,Crowbar 3,ชะแลง 3,True
Cry 1,Cry 1,ร้องไห้ 1,True
Cry 2,Cry 2,ร้องไห้ 2,True
Cry 3,Cry 3,ร้องไห้ 3,True
Dead,Dead,วิญญาณหลุด,True
Dizzy,Dizzy,ตาลาย,True
Drink (Beverage Cup),Drink (Beverage Cup),เครื่องดื่ม (แก้วเครื่องดื่ม),True
Drive,Drive,ขับรถ,True
Drooling (Chopstick),Drooling (Chopstick),น้ำลายไหล (ตะเกียบ),True
Drooling (Fork&Knife),Drooling (Fork&Knife),น้ำลายไหล (ส้อมและมีด),True
Dum 1,Dum 1,หน้าโง่ 1,True
Dum 2,Dum 2,หน้าโง่ 2,True
Dum 3,Dum 3,หน้าโง่ 3,True
Dum Sticker 1,Dum Sticker 1,หน้าโง่ 1 (Sticky Note),True
Dum Sticker 2,Dum Sticker 2,หน้าโง่ 2 (Sticky Note),True
Dum Sticker 3,Dum Sticker 3,หน้าโง่ 3 (Sticky Note),True
Exclamation,Exclamation,อุทาน,True
Jail 1,Jail 1,คุก 1,True
Jail 2,Jail 2,คุก 2,True
Knife 1,Knife 1,มีด 1,True
Knife 2,Knife 2,มีด 2,True
Laugh,Laugh,หัวเราะ,True
Lick,Lick,เลีย,True
Lightstick 1,Lightstick 1,แท่งไฟ 1,True
Lightstick 2,Lightstick 2,แท่งไฟ 2,True
Lurk 1,Lurk 1,แอบ 1,True
Lurk 2,Lurk 2,แอบ 2,True
Luv 1,Luv 1,รัก 1,True
Luv 2,Luv 2,รัก 2,True
Luv 3,Luv 3,รัก 3,True
Money,Money,เงิน,True
Mute 1,Mute 1,Mute 1,True
Mute 2,Mute 2,Mute 2,True
Nervous 1,Nervous 1,กังวล 1,True
Nervous 2,Nervous 2,กังวล 2,True
Noted 1,Noted 1,จดโน๊ต 1,True
Noted 2,Noted 2,จดโน๊ต 2,True
Pat,Pat,ลูบหัว,True
Point,Point,ชี้,True
Question,Question,ถาม,True
Raid 1,Raid 1,Raid 1,True
Raid 2,Raid 2,Raid 2,True
RedPacket 1,RedPacket 1,อั่งเปา 1,True
RedPacket 2,RedPacket 2,อั่งเปา 2,True
Rose,Rose,ดอกกุหลาบ,True
Score (0 Point),Score (0 Point),คะแนน (0 คะแนน),True
Score (10 Point),Score (10 Point),คะแนน (10 คะแนน),True
Shy 1,Shy 1,ขี้อาย 1,True
Shy 2,Shy 2,ขี้อาย 2,True
Sleep (Normal),Sleep (Normal),นอนหลับ (ปกติ),True
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),นอนหลับ (เตรียมตัวนอน 1),True
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),นอนหลับ (เตรียมตัวนอน 2),True
Sleep (UU),Sleep (UU),นอนหลับ (UU),True
Sparkling,Sparkling,แวววาว,True
Surprise,Surprise,เซอร์ไพรส์,True
Sweat,Sweat,เหงือตก,True
Thumb Down,Thumb Down,ไม่ชอบ,True
Thumb Up,Thumb Up,ชอบ,True
Type Angry,Type Angry,พิมพ์ (โกรธ),True
Type Annoyed,Type Annoyed,พิมพ์ (รำคาญ),True
Type Normal,Type Normal,พิมพ์ (ปกติ),True
Work Angry,Work Angry,ทำงาน (โกรธ),True
Work Nap,Work Nap,ทำงาน (หลับ),True
Work Normal,Work Normal,ทำงาน (ปกติ),True
Work Tired,Work Tired,ทำงาน (เหนื่อย),True
Bell,Bell,กระดิ่งมีด้าม,True
Cake,Cake,เค้ก,True
Caught in 4K (Phone),Caught in 4K (Phone),เก็บหลักฐาน (มือถือ),True
Caught in 4K (Video Camera),Caught in 4K (Video Camera),เก็บหลักฐาน (กล้องวิดีโอ),True
Celebration,Celebration,เฉลิมฉลอง,True
Head Nod,Head Nod,พยักหน้า,True
Head Shake,Head Shake,ส่ายหัว,True
Hypnosis,Hypnosis,สะกดจิต,True
Laugh (Point),Laugh (Point),หัวเราะ (ชี้),True
Love Letter,Love Letter,จดหมายรัก,True
Need Food,Need Food,ขออาหาร,True
PNGTuber Idle,PNGTuber Idle,PNGTuber Idle,True
PNGTuber Idle 2,PNGTuber Idle 2,PNGTuber Idle 2,True
PNGTuber Talk,PNGTuber Talk,PNGTuber พูดคุย,True
PNGTuber Talk 2,PNGTuber Talk 2,PNGTuber พูดคุย 2,True
PNGTuber Yap,PNGTuber Yap,PNGTuber โวย,True
Popcat Frame,Popcat Frame,Popcat Frame,True
Popcat Smooth,Popcat Smooth,Popcat Smooth,True
Sing,Sing,ร้องเพลง,True
Tablet,Tablet,แท็บเล็ตวาดรูป,True
Tail Wag,Tail Wag,กระดิกหาง,True
