Key,en,th,reviewed
Hair Ahoge,Hair Ahoge,ผม Ahoge,True
Hair Ahoge Outline,Hair Ahoge Outline,เส้นร่างผม Ahoge,True
Animal Ear >>,Animal Ear >>,หูสัตว์ >>,True
Animal Ear >> Fur,Animal Ear >> Fur,หูสัตว์ >> ขน,True
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,เส้นร่างหูสัตว์ >> ขน,True
Animal Ear >> Outline,Animal Ear >> Outline,เส้นร่างหูสัตว์ >>,True
Animal Ear <<,Animal Ear <<,หูสัตว์ <<,True
Animal Ear << Fur,Animal Ear << Fur,หูสัตว์ << ขน,True
Animal Ear << Fur Outline,Animal Ear << Fur Outline,เส้นร่างหูสัตว์ << ขน,True
Animal Ear << Outline,Animal Ear << Outline,เส้นร่างหูสัตว์ <<,True
Antenna >>,Antenna >>,หนวดแมลง >>,True
Antenna >> Outline,Antenna >> Outline,เส้นร่างหนวดแมลง >>,True
Antenna <<,Antenna <<,หนวดแมลง <<,True
Antenna << Outline,Antenna << Outline,เส้นร่างหนวดแมลง <<,True
Hair Rear,Hair Rear,ผมด้านหลัง,True
Hair Rear Outline,Hair Rear Outline,เส้นร่างผมด้านหลัง,True
Beverage Cup,Beverage Cup,ถ้วยเครื่องดื่ม,True
Beverage Liquid,Beverage Liquid,ของเหลวเครื่องดื่ม 1,True
Beverage Liquid 2,Beverage Liquid 2,ของเหลวเครื่องดื่ม 2,True
Bill,Bill,แบงก์เงิน,True
Blanket Inner,Blanket Inner,ผ้าห่มด้านใน,True
Blanket Outter,Blanket Outter,ผ้าห่มด้านนอก,True
Face Blush,Face Blush,แก้มแดง,True
Brow >>,Brow >>,คิ้ว >>,True
Brow <<,Brow <<,คิ้ว <<,True
Chopstick,Chopstick,ตะเกียบ,True
Crowbar,Crowbar,ชะแลง,True
Cup,Cup,ถ้วยน้ำ,True
Cup Steam,Cup Steam,ไอน้ำจากถ้วยน้ำ,True
Door/Wall,Door/Wall,ประตู/ผนัง,True
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,ตาหน้าโง่ >>,True
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,ตาหน้าโง่ <<,True
Eyebag,Eyebag,ถุงใต้ตา,True
Eye Iris Dark >>,Eye Iris Dark >>,ตา(สีเข้ม) >>,True
Eye Iris Dark <<,Eye Iris Dark <<,ตา(สีเข้ม) <<,True
Eye Dollar,Eye Dollar,ตา(ดอลลาร์),True
Eye Heart,Eye Heart,ตา(หัวใจ),True
Eye Highlight,Eye Highlight,ไฮไลท์ตา,True
Eyelashes,Eyelashes,ขนตา,True
Eye Iris Light >>,Eye Iris Light >>,ตา(สีอ่อน) >>,True
Eye Iris Light <<,Eye Iris Light <<,ตา(สีอ่อน) <<,True
Eye(Dum) Outline,Eye(Dum) Outline,เส้นร่างตาหน้าโง่,True
Eye Sparkling,Eye Sparkling,ตา(ประกาย),True
Eye Spiral,Eye Spiral,ตา(Spiral),True
Eye White,Eye White,ตาขาว,True
Face Shadow,Face Shadow,เงาบนหน้า,True
Fin >>,Fin >>,ครีบ >>,True
Fin >> Outline,Fin >> Outline,เส้นร่างครีบ >>,True
Fin <<,Fin <<,ครีบ <<,True
Fin << Outline,Fin << Outline,เส้นร่างครีบ <<,True
Hair Framing >>,Hair Framing >>,ผมด้านข้าง >>,True
Hair Framing >> Outline,Hair Framing >> Outline,เส้นร่างผมด้านข้าง >>,True
Hair Framing <<,Hair Framing <<,ผมด้านข้าง <<,True
Hair Framing << Outline,Hair Framing << Outline,เส้นร่างผมด้านข้าง <<,True
Gill,Gill,เหงือก,True
Gill Outline,Gill Outline,เส้นร่างเหงือก,True
Glasses,Glasses,แว่นตา,True
Hairband A,Hairband A,ที่คาดผม A,True
Hairband A Outline,Hairband A Outline,เส้นร่างที่คาดผม A,True
Hairband B,Hairband B,ที่คาดผม B,True
Hairband B Outline,Hairband B Outline,เส้นร่างที่คาดผม B,True
Hairband C,Hairband C,ที่คาดผม C,True
Hairband C Outline,Hairband C Outline,เส้นร่างที่คาดผม C,True
Hairband D,Hairband D,ที่คาดผม D,True
Hairband D Outline,Hairband D Outline,เส้นร่างที่คาดผม D,True
Hair Bang >>,Hair Bang >>,ผมหน้าม้า >>,True
Hair Bang >> Outline,Hair Bang >> Outline,เส้นร่างผมหน้าม้า >>,True
Hair Bang ><,Hair Bang ><,ผมหน้าม้า ><,True
Hair Bang >< Outline,Hair Bang >< Outline,เส้นร่างผมหน้าม้า ><,True
Hair Bang <<,Hair Bang <<,ผมหน้าม้า <<,True
Hair Bang << Outline,Hair Bang << Outline,เส้นร่างผมหน้าม้า <<,True
Hair Clip >>,Hair Clip >>,กิ๊บติดผม >>,True
Hair Clip >> Outline,Hair Clip >> Outline,เส้นร่างกิ๊บติดผม >>,True
Hair Clip <<,Hair Clip <<,กิ๊บติดผม <<,True
Hair Clip << Outline,Hair Clip << Outline,เส้นร่างกิ๊บติดผม <<,True
Hair Highlight 1 >>,Hair Highlight 1 >>,ชิ้นส่วนผม 1 >>,True
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,เส้นร่างชิ้นส่วนผม 1 >>,True
Hair Highlight 2 >>,Hair Highlight 2 >>,ชิ้นส่วนผม 2 >>,True
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,เส้นร่างชิ้นส่วนผม 2 >>,True
Hair Highlight 3 >>,Hair Highlight 3 >>,ชิ้นส่วนผม 3 >>,True
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,เส้นร่างชิ้นส่วนผม 3 >>,True
Hair Highlight 1 ><,Hair Highlight 1 ><,ชิ้นส่วนผม 1 ><,True
Hair Highlight 1 >< Outline,Hair Highlight 1 >< Outline,เส้นร่างชิ้นส่วนผม 1 ><,True
Hair Highlight 2 ><,Hair Highlight 2 ><,ชิ้นส่วนผม 2 ><,True
Hair Highlight 2 >< Outline,Hair Highlight 2 >< Outline,เส้นร่างชิ้นส่วนผม 2 ><,True
Hair Highlight 3 ><,Hair Highlight 3 ><,ชิ้นส่วนผม 3 ><,True
Hair Highlight 3 >< Outline,Hair Highlight 3 >< Outline,เส้นร่างชิ้นส่วนผม 3 ><,True
Hair Highlight 4 ><,Hair Highlight 4 ><,ชิ้นส่วนผม 4 ><,True
Hair Highlight 4 >< Outline,Hair Highlight 4 >< Outline,เส้นร่างชิ้นส่วนผม 4 ><,True
Hair Highlight 5 ><,Hair Highlight 5 ><,ชิ้นส่วนผม 5 ><,True
Hair Highlight 5 >< Outline,Hair Highlight 5 >< Outline,เส้นร่างชิ้นส่วนผม 5 ><,True
Hair Highlight 6 ><,Hair Highlight 6 ><,ชิ้นส่วนผม 6 ><,True
Hair Highlight 6 >< Outline,Hair Highlight 6 >< Outline,เส้นร่างชิ้นส่วนผม 6 ><,True
Hair Highlight 1 <<,Hair Highlight 1 <<,ชิ้นส่วนผม 1 <<,True
Hair Highlight 1 << Outline,Hair Highlight 1 << Outline,เส้นร่างชิ้นส่วนผม 1 <<,True
Hair Highlight 2 <<,Hair Highlight 2 <<,ชิ้นส่วนผม 2 <<,True
Hair Highlight 2 << Outline,Hair Highlight 2 << Outline,เส้นร่างชิ้นส่วนผม 2 <<,True
Hair Highlight 3 <<,Hair Highlight 3 <<,ชิ้นส่วนผม 3 <<,True
Hair Highlight 3 << Outline,Hair Highlight 3 << Outline,เส้นร่างชิ้นส่วนผม 3 <<,True
Hairline Outline,Hairline Outline,เส้นร่างไรผม,True
Hair Shine,Hair Shine,ไฮไลต์ผม,True
