Key,en,th,reviewed
MainMenu.TabHeaderLable.Editor,Editor,Editor,True
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.","คุณแน่ใจหรือไม่ว่าต้องการลบตัวละคร ""{0}""? การกระทำนี้จะไม่สามารถย้อนกลับมาแก้ไขได้",True
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.","คุณมีตัวละคร ""{0}"" อยู่แล้ว คุณแน่ใจหรือไม่ว่า ต้องการบันทึกทับตัวละคร ""{0}""? การกระทำนี้ไม่สามารถย้อนกลับมาแก้ไขได้",True
MainMenu.Confirm,Confirm,ยืนยัน,True
MainMenu.Cancel,Cancel,ยกเลิก,True
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,โปรดป้อนชื่อตัวละคร:,True
MainMenu.Editor.Model,Models,โมเดล,True
MainMenu.Editor.Character,Character,ตัวละคร,True
MainMenu.Editor.Animation,Animation,แอนิเมชัน,True
MainMenu.Editor.PartsSelection,Choose Parts,เลือกชิ้นส่วน,True
MainMenu.Editor.PartsAdjustment,Adjustment,การแก้ไข,True
MainMenu.Search,Search...,ค้นหา...,True
MainMenu.Editor.SaveCharacter,Save Character,บันทึกตัวละคร,True
MainMenu.Editor.Unload,Clear Character,ล้างตัวละคร,True
MainMenu.Editor.DeleteCharacter,Delete Character,ลบตัวละคร,True
MainMenu.Editor.UseCustomTextures,Use Custom Textures,ใช้ Custom Texture,True
MainMenu.Editor.ReloadTextures,Reload Textures,โหลด Texture ใหม่,True
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,เปิดโฟลเดอร์ Custom Texture,True
MainMenu.Editor.Color,Color,สี,True
MainMenu.Editor.TintColor,TintColor,สีย้อม,True
MainMenu.Editor.TintBlackColor,TintBlackColor,สีย้อมดำ,True
MainMenu.Editor.LICENSE,LICENSE,ใบอนุญาตซอฟต์แวร์ (LICENSE),True
MainMenu.Editor.AssetTypeAA,Default Assets,Default Assets,True
MainMenu.Editor.AssetTypeSA,Third-Party Assets,Asset ของบุคคลที่สาม,True
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,ชื่อต้องไม่ว่างเปล่า,True
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,ชื่อต้องไม่เกิน {0} ตัวอักษร,True
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".","ชื่อต้องไม่มีอักขระ ""{0}""",True
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.","""{0}"" เป็นชื่อที่สงวนไว้และไม่สามารถใช้งานได้",True
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,ชื่อต้องไม่ลงท้ายด้วยจุด,True
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,ชื่อต้องไม่ประกอบด้วยช่องว่างเพียงอย่างเดียว,True
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,Unload โมเดลปัจจุบัน,True
MainMenu.Settings.GeneralSettings,General Settings,การตั้งค่าทั่วไป,True
MainMenu.Settings.GeneralSettings.Language,Language,ภาษา,True
MainMenu.Settings.ViewportSettings,Viewport Settings,การตั้งค่า Viewport,True
MainMenu.Settings.ViewportSettings.ViewportZoomSpeed,Zoom Speed,ความเร็วในการ Zoom,True
