Key,en,zh-Hans,reviewed
Alert Bits,Alert Bits,通知/提示 Bits,True
Alert Donation,Alert Donation,通知/提示 硬币,True
Alert Heart,Alert Heart,通知/提示 爱心/喜欢,True
Alert Like,Alert Like,通知/提示 点赞,True
Alert Star,Alert Star,通知/提示 星星/收藏,True
Angry,Angry,生气,True
Arrive,Arrive,到达,True
Arrive (with Chopstick),Arrive (with Chopstick),到达(拿筷子),True
Arrive (with Spoon),Arrive (with Spoon),到达(拿勺子),True
Bonk,Bonk,敲头,True
Copium,Copium,自我安慰,True
Crowbar 1,Crowbar 1,撬棍 1,True
Crowbar 2,Crowbar 2,撬棍 2,True
Crowbar 3,Crowbar 3,撬棍 3,True
Cry 1,Cry 1,哭 1,True
Cry 2,Cry 2,哭 2,True
Cry 3,Cry 3,哭 3,True
Dead,Dead,死亡,True
Dizzy,Dizzy,头晕,True
Drink (Beverage Cup),Drink (Beverage Cup),喝(饮料杯),True
Drive,Drive,驾驶,True
Drooling (Chopstick),Drooling (Chopstick),馋(筷子),True
Drooling (Fork&Knife),Drooling (Fork&Knife),馋(刀叉),True
Dum 1,Dum 1,呆 1,True
Dum 2,Dum 2,呆 2,True
Dum 3,Dum 3,呆 3,True
Dum Sticker 1,Dum Sticker 1,呆(贴纸) 1,True
Dum Sticker 2,Dum Sticker 2,呆(贴纸) 2,True
Dum Sticker 3,Dum Sticker 3,呆(贴纸) 3,True
Exclamation,Exclamation,叹号,True
Jail 1,Jail 1,坐牢 1,True
Jail 2,Jail 2,坐牢 2,True
Knife 1,Knife 1,刀 1,True
Knife 2,Knife 2,刀 2,True
Laugh,Laugh,笑,True
Lick,Lick,舔舔,True
Lightstick 1,Lightstick 1,荧光棒 1,True
Lightstick 2,Lightstick 2,荧光棒 2,True
Lurk 1,Lurk 1,冒泡 1,True
Lurk 2,Lurk 2,冒泡 2,True
Luv 1,Luv 1,爱心 1,True
Luv 2,Luv 2,爱心 2,True
Luv 3,Luv 3,爱心 3,True
Money,Money,钱,True
Mute 1,Mute 1,静音 1,True
Mute 2,Mute 2,静音 2,True
Nervous 1,Nervous 1,紧张 1,True
Nervous 2,Nervous 2,紧张 2,True
Noted 1,Noted 1,记录 1,True
Noted 2,Noted 2,记录 2,True
Pat,Pat,摸头,True
Point,Point,指,True
Question,Question,问号,True
Raid 1,Raid 1,Raid 1,True
Raid 2,Raid 2,Raid 2,True
RedPacket 1,RedPacket 1,红包 1,True
RedPacket 2,RedPacket 2,红包 2,True
Rose,Rose,玫瑰,True
Score (0 Point),Score (0 Point),得分(0分),True
Score (10 Point),Score (10 Point),得分(10分),True
Shy 1,Shy 1,害羞 1,True
Shy 2,Shy 2,害羞 2,True
Sleep (Normal),Sleep (Normal),睡觉(普通),True
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),睡觉(准备阶段1),True
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),睡觉(准备阶段2),True
Sleep (UU),Sleep (UU),睡觉 (UU),True
Sparkling,Sparkling,期待,True
Surprise,Surprise,惊吓,True
Sweat,Sweat,汗,True
Thumb Down,Thumb Down,反向点赞,True
Thumb Up,Thumb Up,点赞,True
Type Angry,Type Angry,打字(生气),True
Type Annoyed,Type Annoyed,打字(恼怒),True
Type Normal,Type Normal,打字(普通),True
Work Angry,Work Angry,工作(生气),True
Work Nap,Work Nap,工作(小睡),True
Work Normal,Work Normal,工作(普通),True
Work Tired,Work Tired,工作(疲倦),True
Bell,Bell,摇铃,True
Cake,Cake,蛋糕,True
Caught in 4K (Phone),Caught in 4K (Phone),抓拍(手机),True
Caught in 4K (Video Camera),Caught in 4K (Video Camera),抓拍(摄像机),True
Celebration,Celebration,庆祝,True
Head Nod,Head Nod,点头,True
Head Shake,Head Shake,摇头,True
Hypnosis,Hypnosis,催眠,True
Laugh (Point),Laugh (Point),笑(指),True
Love Letter,Love Letter,情书,True
Need Food,Need Food,要米,True
PNGTuber Idle,PNGTuber Idle,PNGTuber 闲置,True
PNGTuber Idle 2,PNGTuber Idle 2,PNGTuber 闲置 2,True
PNGTuber Talk,PNGTuber Talk,PNGTuber 说话,True
PNGTuber Talk 2,PNGTuber Talk 2,PNGTuber 说话 2,True
PNGTuber Yap,PNGTuber Yap,PNGTuber 说教,True
Popcat Frame,Popcat Frame,Popcat 帧,True
Popcat Smooth,Popcat Smooth,Popcat 平滑,True
Sing,Sing,唱歌,True
Tablet,Tablet,画板,True
Tail Wag,Tail Wag,雨刮器尾巴,True
