Key,en,zh-Hans,reviewed
Brows,Brows,眉毛,True
Ear,Ear,耳朵,True
Eye,Eye,眼睛,True
Base Hair,Base Hair,基础头发,True
Hair Bang >>,Hair Bang >>,头发 刘海 >>,True
Hair Bang ><,Hair Bang ><,头发 刘海 ><,True
Hair Bang <<,Hair Bang <<,头发 刘海 <<,True
Hair Shine,Hair Shine,头发 高光,True
Hair Branch >>,Hair Branch >>,头发 分叉 >>,True
Hair Branch <<,Hair Branch <<,头发 分叉 <<,True
Hair Framing >>,Hair Framing >>,头发 脸颊 >>,True
Hair Framing <<,Hair Framing <<,头发 脸颊 <<,True
Hair Framing,Hair Framing,头发 脸颊两侧,True
Hair Highlight 1 >>,Hair Highlight 1 >>,挑染 1 >>,True
Hair Highlight 2 >>,Hair Highlight 2 >>,挑染 2 >>,True
Hair Highlight 3 >>,Hair Highlight 3 >>,挑染 3 >>,True
Hair Highlight 1 ><,Hair Highlight 1 ><,挑染 1 ><,True
Hair Highlight 2 ><,Hair Highlight 2 ><,挑染 2 ><,True
Hair Highlight 3 ><,Hair Highlight 3 ><,挑染 3 ><,True
Hair Highlight 4 ><,Hair Highlight 4 ><,挑染 4 ><,True
Hair Highlight 5 ><,Hair Highlight 5 ><,挑染 5 ><,True
Hair Highlight 6 ><,Hair Highlight 6 ><,挑染 6 ><,True
Hair Highlight 1 <<,Hair Highlight 1 <<,挑染 1 <<,True
Hair Highlight 2 <<,Hair Highlight 2 <<,挑染 2 <<,True
Hair Highlight 3 <<,Hair Highlight 3 <<,挑染 3 <<,True
Hair Side,Hair Side,头发 侧面,True
Hair Ahoge,Hair Ahoge,头发 呆毛,True
Hair Rear,Hair Rear,头发 后侧,True
Hair Pigtail >>,Hair Pigtail >>,头发 马尾 >>,True
Hair Pigtail <<,Hair Pigtail <<,头发 马尾 <<,True
Animal Ear,Animal Ear,兽耳,True
Antenna,Antenna,触角,True
Fin,Fin,鳍,True
Gill,Gill,腮,True
Glasses,Glasses,眼镜,True
Hairband A,Hairband A,发带 A,True
Hairband B,Hairband B,发带 B,True
Hairband C,Hairband C,发带 C,True
Hairband D,Hairband D,发带 D,True
Hair Clip >>,Hair Clip >>,发夹 >>,True
Hair Clip <<,Hair Clip <<,发夹 <<,True
Halo,Halo,光环,True
Hat,Hat,帽子,True
Ear Wing,Ear Wing,翅膀耳朵,True
Horn,Horn,角,True
Horn Front ><,Horn Front ><,角 前 ><,True
Horn Front,Horn Front,角 前,True
Mecha,Mecha,机械,True
Outfit Collar Inner,Outfit Collar Inner,服装 领子 里侧,True
Outfit Inner,Outfit Inner,服装 里侧,True
Outfit Outer,Outfit Outer,服装 外侧,True
Outfit Neckwear A,Outfit Neckwear A,服装 颈部装饰 A,True
Outfit Neckwear B,Outfit Neckwear B,服装 颈部装饰 B,True
Outfit Neckwear C,Outfit Neckwear C,服装 颈部装饰 C,True
Hair Side Branch >> A,Hair Side Branch >> A,头发 侧面分叉 >> A,True
Hair Side Branch >> B,Hair Side Branch >> B,头发 侧面分叉 >> B,True
Hair Side Branch >> C,Hair Side Branch >> C,头发 侧面分叉 >> C,True
Hair Side Branch << A,Hair Side Branch << A,头发 侧面分叉 << A,True
Hair Side Branch << B,Hair Side Branch << B,头发 侧面分叉 << B,True
Hair Side Branch << C,Hair Side Branch << C,头发 侧面分叉 << C,True
Tail,Tail,尾巴,True
Wing,Wing,翅膀,True
