Key,en,zh-Hans,reviewed
Hair Ahoge,Hair Ahoge,头发呆毛,True
Hair Ahoge Outline,Hair Ahoge Outline,头发呆毛轮廓,True
Animal Ear >>,Animal Ear >>,兽耳 >>,True
Animal Ear >> Fur,Animal Ear >> Fur,兽耳 >> 毛,True
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,兽耳 >> 毛轮廓,True
Animal Ear >> Outline,Animal Ear >> Outline,兽耳 >> 轮廓,True
Animal Ear <<,Animal Ear <<,兽耳 <<,True
Animal Ear << Fur,Animal Ear << Fur,兽耳 << 毛,True
Animal Ear << Fur Outline,Animal Ear << Fur Outline,兽耳 << 毛轮廓,True
Animal Ear << Outline,Animal Ear << Outline,兽耳 << 轮廓,True
Antenna >>,Antenna >>,触角 >>,True
Antenna >> Outline,Antenna >> Outline,触角 >> 轮廓,True
Antenna <<,Antenna <<,触角 <<,True
Antenna << Outline,Antenna << Outline,触角 << 轮廓,True
Hair Rear,Hair Rear,头发 后侧,True
Hair Rear Outline,Hair Rear Outline,头发 后侧 轮廓,True
Beverage Cup,Beverage Cup,饮料杯,True
Beverage Liquid,Beverage Liquid,饮料杯 液体,True
Beverage Liquid 2,Beverage Liquid 2,饮料杯 液体 2,True
Bill,Bill,钞票,True
Blanket Inner,Blanket Inner,被子 里侧,True
Blanket Outter,Blanket Outter,被子 外侧,True
Face Blush,Face Blush,脸红,True
Brow >>,Brow >>,眉毛 >>,True
Brow <<,Brow <<,眉毛 <<,True
Chopstick,Chopstick,筷子,True
Crowbar,Crowbar,撬棍,True
Cup,Cup,咖啡杯,True
Cup Steam,Cup Steam,咖啡杯 蒸汽,True
Door/Wall,Door/Wall,门/墙,True
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,呆眼 瞳孔 >>,True
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,呆眼 瞳孔  <<,True
Eyebag,Eyebag,眼袋,True
Eye Iris Dark >>,Eye Iris Dark >>,眼睛 虹膜深色 >>,True
Eye Iris Dark <<,Eye Iris Dark <<,眼睛 虹膜深色 <<,True
Eye Dollar,Eye Dollar,眼睛 钱,True
Eye Heart,Eye Heart,眼睛 爱心,True
Eye Highlight,Eye Highlight,眼睛 高光,True
Eyelashes,Eyelashes,眼睛 睫毛,True
Eye Iris Light >>,Eye Iris Light >>,眼睛 虹膜浅色 >>,True
Eye Iris Light <<,Eye Iris Light <<,眼睛 虹膜浅色 <<,True
Eye(Dum) Outline,Eye(Dum) Outline,呆眼 轮廓,True
Eye Sparkling,Eye Sparkling,眼睛 星星,True
Eye Spiral,Eye Spiral,眼睛 圈圈,True
Eye White,Eye White,眼睛 白色部分,True
Face Shadow,Face Shadow,脸 阴影,True
Fin >>,Fin >>,鳍 >>,True
Fin >> Outline,Fin >> Outline,鳍 >> 轮廓,True
Fin <<,Fin <<,鳍 <<,True
Fin << Outline,Fin << Outline,鳍 << 轮廓,True
Hair Framing >>,Hair Framing >>,头发 脸颊 >>,True
Hair Framing >> Outline,Hair Framing >> Outline,头发 脸颊 >> 轮廓,True
Hair Framing <<,Hair Framing <<,头发 脸颊 <<,True
Hair Framing << Outline,Hair Framing << Outline,头发 脸颊 << 轮廓,True
Gill,Gill,腮,True
Gill Outline,Gill Outline,腮 轮廓,True
Glasses,Glasses,眼镜,True
Hairband A,Hairband A,发带 A,True
Hairband A Outline,Hairband A Outline,发带 A 轮廓,True
Hairband B,Hairband B,发带 B,True
Hairband B Outline,Hairband B Outline,发带 B 轮廓,True
Hairband C,Hairband C,发带 C,True
