Key,en,zh-Hant,reviewed
Alert Bits,Alert Bits,警報位,False
Alert Donation,Alert Donation,警報捐贈,False
Alert Heart,Alert Heart,警惕之心,False
Alert Like,Alert Like,提醒喜歡,False
Alert Star,Alert Star,警報星,False
Angry,Angry,生氣的,False
Arrive,Arrive,到達,False
Arrive (with Chopstick),Arrive (with Chopstick),到達（用筷子）,False
Arrive (with Spoon),Arrive (with Spoon),到達（用湯匙）,False
Bonk,Bonk,邦克,False
Copium,Copium,科皮姆,False
Crowbar 1,Crowbar 1,撬棍1,False
Crowbar 2,Crowbar 2,撬棍2,False
Crowbar 3,Crowbar 3,撬棍3,False
Cry 1,Cry 1,哭泣1,False
Cry 2,Cry 2,哭泣2,False
Cry 3,Cry 3,哭泣3,False
Dead,Dead,死的,False
Dizzy,Dizzy,暈眩的,False
Drink (Beverage Cup),Drink (Beverage Cup),飲料（飲料杯）,False
Drive,Drive,駕駛,False
Drooling (Chopstick),Drooling (Chopstick),流口水（筷子）,False
Drooling (Fork&Knife),Drooling (Fork&Knife),流口水（刀叉）,False
Dum 1,Dum 1,達姆 1,False
Dum 2,Dum 2,達姆2,False
Dum 3,Dum 3,達姆3,False
Dum Sticker 1,Dum Sticker 1,達姆貼紙 1,False
Dum Sticker 2,Dum Sticker 2,達姆貼紙 2,False
Dum Sticker 3,Dum Sticker 3,達姆貼紙 3,False
Exclamation,Exclamation,驚嘆,False
Jail 1,Jail 1,監獄 1,False
Jail 2,Jail 2,監獄2,False
Knife 1,Knife 1,刀1,False
Knife 2,Knife 2,刀2,False
Laugh,Laugh,笑,False
Lick,Lick,舔,False
Lightstick 1,Lightstick 1,螢光棒1,False
Lightstick 2,Lightstick 2,螢光棒2,False
Lurk 1,Lurk 1,潛伏1,False
Lurk 2,Lurk 2,潛伏2,False
Luv 1,Luv 1,愛1,False
Luv 2,Luv 2,愛2,False
Luv 3,Luv 3,愛3,False
Money,Money,錢,False
Mute 1,Mute 1,靜音1,False
Mute 2,Mute 2,靜音2,False
Nervous 1,Nervous 1,緊張1,False
Nervous 2,Nervous 2,緊張2,False
Noted 1,Noted 1,註 1,False
Noted 2,Noted 2,註2,False
Pat,Pat,拍,False
Point,Point,觀點,False
Question,Question,問題,False
Raid 1,Raid 1,突襲1,False
Raid 2,Raid 2,突襲2,False
RedPacket 1,RedPacket 1,紅包1,False
RedPacket 2,RedPacket 2,紅包2,False
Rose,Rose,玫瑰,False
Score (0 Point),Score (0 Point),得分（0 分）,False
Score (10 Point),Score (10 Point),得分（10 分）,False
Shy 1,Shy 1,害羞1,False
Shy 2,Shy 2,害羞2,False
Sleep (Normal),Sleep (Normal),睡眠（正常）,False
Sleep (Preparing Stage 1),Sleep (Preparing Stage 1),睡眠（準備階段 1）,False
Sleep (Preparing Stage 2),Sleep (Preparing Stage 2),睡眠（準備階段 2）,False
Sleep (UU),Sleep (UU),睡眠（UU）,False
Sparkling,Sparkling,閃閃發光,False
Surprise,Surprise,驚喜,False
Sweat,Sweat,汗,False
Thumb Down,Thumb Down,拇指向下,False
Thumb Up,Thumb Up,豎起大拇指,False
Type Angry,Type Angry,類型憤怒,False
Type Annoyed,Type Annoyed,類型惱怒,False
Type Normal,Type Normal,類型 正常,False
Work Angry,Work Angry,憤怒地工作,False
Work Nap,Work Nap,工作午睡,False
Work Normal,Work Normal,工作正常,False
Work Tired,Work Tired,工作累,False
Bell,Bell,鐘,False
Cake,Cake,蛋糕,False
Caught in 4K (Phone),Caught in 4K (Phone),陷入 4K 困境（手機）,False
Caught in 4K (Video Camera),Caught in 4K (Video Camera),4K 捕捉（攝影機）,False
Celebration,Celebration,慶典,False
Head Nod,Head Nod,點點頭,False
Head Shake,Head Shake,搖頭,False
Hypnosis,Hypnosis,催眠,False
Laugh (Point),Laugh (Point),笑（點）,False
Love Letter,Love Letter,情書,False
Need Food,Need Food,需要食物,False
PNGTuber Idle,PNGTuber Idle,PNGTuber 閒置,False
PNGTuber Idle 2,PNGTuber Idle 2,PNGTuber 空閒 2,False
PNGTuber Talk,PNGTuber Talk,PNGTuber 談話,False
PNGTuber Talk 2,PNGTuber Talk 2,PNGTuber 談話 2,False
PNGTuber Yap,PNGTuber Yap,PNGTuber 雅普,False
Popcat Frame,Popcat Frame,流行貓框架,False
Popcat Smooth,Popcat Smooth,Popcat 光滑,False
Sing,Sing,唱歌,False
Tablet,Tablet,藥片,False
Tail Wag,Tail Wag,尾巴搖擺,False
