Key,en,zh-Hant,reviewed
Brows,Brows,眉毛,False
Ear,Ear,耳朵,False
Eye,Eye,眼睛,False
Base Hair,Base Hair,基礎毛髮,False
Hair Bang >>,Hair Bang >>,發瀏海>>,False
Hair Bang ><,Hair Bang ><,頭髮瀏海><,False
Hair Bang <<,Hair Bang <<,頭髮瀏海 <<,False
Hair Shine,Hair Shine,頭髮光澤,False
Hair Branch >>,Hair Branch >>,發科>>,False
Hair Branch <<,Hair Branch <<,發枝<<,False
Hair Framing >>,Hair Framing >>,頭髮定型>>,False
Hair Framing <<,Hair Framing <<,頭髮框架 <<,False
Hair Framing,Hair Framing,頭髮定型,False
Hair Highlight 1 >>,Hair Highlight 1 >>,頭髮亮點1 >>,False
Hair Highlight 2 >>,Hair Highlight 2 >>,頭髮亮點2>>,False
Hair Highlight 3 >>,Hair Highlight 3 >>,頭髮亮點3>>,False
Hair Highlight 1 ><,Hair Highlight 1 ><,頭髮亮點1><,False
Hair Highlight 2 ><,Hair Highlight 2 ><,頭髮亮點2><,False
Hair Highlight 3 ><,Hair Highlight 3 ><,頭髮亮點3><,False
Hair Highlight 4 ><,Hair Highlight 4 ><,頭髮亮點4><,False
Hair Highlight 5 ><,Hair Highlight 5 ><,頭髮亮點5><,False
Hair Highlight 6 ><,Hair Highlight 6 ><,頭髮亮點6><,False
Hair Highlight 1 <<,Hair Highlight 1 <<,頭髮亮點 1 <<,False
Hair Highlight 2 <<,Hair Highlight 2 <<,頭髮亮點2 <<,False
Hair Highlight 3 <<,Hair Highlight 3 <<,頭髮亮點 3 <<,False
Hair Side,Hair Side,頭髮側,False
Hair Ahoge,Hair Ahoge,頭髮奧格,False
Hair Rear,Hair Rear,頭髮後部,False
Hair Pigtail >>,Hair Pigtail >>,頭髮辮子>>,False
Hair Pigtail <<,Hair Pigtail <<,辮子 <<,False
Animal Ear,Animal Ear,獸耳,False
Antenna,Antenna,天線,False
Fin,Fin,鰭,False
Gill,Gill,鰓,False
Glasses,Glasses,眼鏡,False
Hairband A,Hairband A,髮帶A,False
Hairband B,Hairband B,髮帶B,False
Hairband C,Hairband C,髮帶C,False
Hairband D,Hairband D,髮帶D,False
Hair Clip >>,Hair Clip >>,髮夾>>,False
Hair Clip <<,Hair Clip <<,髮夾<<,False
Halo,Halo,暈,False
Hat,Hat,帽子,False
Ear Wing,Ear Wing,耳翼,False
Horn,Horn,喇叭,False
Horn Front ><,Horn Front ><,喇叭前部><,False
Horn Front,Horn Front,喇叭前部,False
Mecha,Mecha,機甲,False
Outfit Collar Inner,Outfit Collar Inner,服裝領子內,False
Outfit Inner,Outfit Inner,服飾內搭,False
Outfit Outer,Outfit Outer,服裝外套,False
Outfit Neckwear A,Outfit Neckwear A,服裝項鍊A,False
Outfit Neckwear B,Outfit Neckwear B,服飾領帶B,False
Outfit Neckwear C,Outfit Neckwear C,服飾領帶C,False
Hair Side Branch >> A,Hair Side Branch >> A,發側枝 >> A,False
Hair Side Branch >> B,Hair Side Branch >> B,發側枝 >> B,False
Hair Side Branch >> C,Hair Side Branch >> C,發側枝 >> C,False
Hair Side Branch << A,Hair Side Branch << A,頭髮側枝 << A,False
Hair Side Branch << B,Hair Side Branch << B,頭髮側枝 << B,False
Hair Side Branch << C,Hair Side Branch << C,頭髮側枝 << C,False
Tail,Tail,尾巴,False
Wing,Wing,翼,False
