Key,en,zh-Hant,reviewed
Hair Ahoge,Hair Ahoge,頭髮奧格,False
Hair Ahoge Outline,Hair Ahoge Outline,頭髮輪廓,False
Animal Ear >>,Animal Ear >>,獸耳>>,False
Animal Ear >> Fur,Animal Ear >> Fur,獸耳 >> 毛皮,False
Animal Ear >> Fur Outline,Animal Ear >> Fur Outline,動物耳朵 >> 毛皮輪廓,False
Animal Ear >> Outline,Animal Ear >> Outline,獸耳 >> 摘要,False
Animal Ear <<,Animal Ear <<,獸耳<<,False
Animal Ear << Fur,Animal Ear << Fur,動物耳朵 << 毛皮,False
Animal Ear << Fur Outline,Animal Ear << Fur Outline,動物耳朵 << 毛皮輪廓,False
Animal Ear << Outline,Animal Ear << Outline,動物耳朵<<大綱,False
Antenna >>,Antenna >>,天線>>,False
Antenna >> Outline,Antenna >> Outline,天線 >> 摘要,False
Antenna <<,Antenna <<,天線 <<,False
Antenna << Outline,Antenna << Outline,天線 << 摘要,False
Hair Rear,Hair Rear,頭髮後部,False
Hair Rear Outline,Hair Rear Outline,頭髮後輪廓,False
Beverage Cup,Beverage Cup,飲料杯,False
Beverage Liquid,Beverage Liquid,飲料液,False
Beverage Liquid 2,Beverage Liquid 2,飲料液2,False
Bill,Bill,帳單,False
Blanket Inner,Blanket Inner,毛毯內層,False
Blanket Outter,Blanket Outter,毛毯外層,False
Face Blush,Face Blush,臉紅,False
Brow >>,Brow >>,眉毛>>,False
Brow <<,Brow <<,眉毛<<,False
Chopstick,Chopstick,筷子,False
Crowbar,Crowbar,撬棍,False
Cup,Cup,杯子,False
Cup Steam,Cup Steam,杯蒸,False
Door/Wall,Door/Wall,門/牆,False
Eye(Dum) Pupil >>,Eye(Dum) Pupil >>,眼睛（啞）瞳孔 >>,False
Eye(Dum) Pupil <<,Eye(Dum) Pupil <<,眼睛（達姆）瞳孔 <<,False
Eyebag,Eyebag,眼袋,False
Eye Iris Dark >>,Eye Iris Dark >>,眼睛虹膜深色>>,False
Eye Iris Dark <<,Eye Iris Dark <<,眼睛虹膜深色 <<,False
Eye Dollar,Eye Dollar,眼睛美元,False
Eye Heart,Eye Heart,眼心,False
Eye Highlight,Eye Highlight,眼睛高光,False
Eyelashes,Eyelashes,睫毛,False
Eye Iris Light >>,Eye Iris Light >>,眼睛虹膜燈>>,False
Eye Iris Light <<,Eye Iris Light <<,眼睛虹膜燈 <<,False
Eye(Dum) Outline,Eye(Dum) Outline,眼睛（啞）輪廓,False
Eye Sparkling,Eye Sparkling,眼睛閃閃發光,False
Eye Spiral,Eye Spiral,眼睛螺旋,False
Eye White,Eye White,眼白,False
Face Shadow,Face Shadow,臉部陰影,False
Fin >>,Fin >>,鰭>>,False
Fin >> Outline,Fin >> Outline,翅片 >> 摘要,False
Fin <<,Fin <<,鰭 <<,False
Fin << Outline,Fin << Outline,鰭 << 輪廓,False
Hair Framing >>,Hair Framing >>,頭髮定型>>,False
Hair Framing >> Outline,Hair Framing >> Outline,發框 >> 摘要,False
Hair Framing <<,Hair Framing <<,頭髮框架 <<,False
Hair Framing << Outline,Hair Framing << Outline,頭髮框架 << 輪廓,False
Gill,Gill,鰓,False
Gill Outline,Gill Outline,鰓輪廓,False
Glasses,Glasses,眼鏡,False
Hairband A,Hairband A,髮帶A,False
Hairband A Outline,Hairband A Outline,髮帶A輪廓,False
Hairband B,Hairband B,髮帶B,False
Hairband B Outline,Hairband B Outline,髮帶B輪廓,False
Hairband C,Hairband C,髮帶C,False
Hairband C Outline,Hairband C Outline,髮帶C輪廓,False
Hairband D,Hairband D,髮帶D,False
Hairband D Outline,Hairband D Outline,髮帶 D 輪廓,False
Hair Bang >>,Hair Bang >>,發瀏海>>,False
Hair Bang >> Outline,Hair Bang >> Outline,瀏海 >> 摘要,False
Hair Bang ><,Hair Bang ><,頭髮瀏海><,False
Hair Bang >< Outline,Hair Bang >< Outline,瀏海>< 輪廓,False
Hair Bang <<,Hair Bang <<,頭髮瀏海 <<,False
Hair Bang << Outline,Hair Bang << Outline,瀏海<<大綱,False
Hair Clip >>,Hair Clip >>,髮夾>>,False
Hair Clip >> Outline,Hair Clip >> Outline,髮夾 >> 摘要,False
Hair Clip <<,Hair Clip <<,髮夾<<,False
Hair Clip << Outline,Hair Clip << Outline,髮夾 << 輪廓,False
Hair Highlight 1 >>,Hair Highlight 1 >>,頭髮亮點1 >>,False
Hair Highlight 1 >> Outline,Hair Highlight 1 >> Outline,頭髮亮點 1 >> 輪廓,False
Hair Highlight 2 >>,Hair Highlight 2 >>,頭髮亮點2>>,False
Hair Highlight 2 >> Outline,Hair Highlight 2 >> Outline,頭髮亮點 2 >> 輪廓,False
Hair Highlight 3 >>,Hair Highlight 3 >>,頭髮亮點3>>,False
Hair Highlight 3 >> Outline,Hair Highlight 3 >> Outline,頭髮亮點 3 >> 輪廓,False
