Key,en,zh-Hant,reviewed
MainMenu.TabHeaderLable.Editor,Editor,編輯,False
MainMenu.Editor.CharacterPopup.DeleteCharacterPrompt,"Are you sure you want to delete character ""{0}""? This action cannot be undone.",您確定要刪除字元“{0}”嗎？此操作無法撤銷。,False
MainMenu.Editor.CharacterPopup.OverwriteCharacterPrompt,"Character ""{0}"" already exist. Are you sure you want to overwrite character ""{0}""? This action cannot be undone.",字元“{0}”已存在。您確定要覆蓋字元“{0}”嗎？此操作無法撤銷。,False
MainMenu.Confirm,Confirm,確認,False
MainMenu.Cancel,Cancel,取消,False
MainMenu.Editor.CharacterPopup.SaveCharacterPrompt,Please enter a character name:,請輸入角色名稱：,False
MainMenu.Editor.Model,Models,型號,False
MainMenu.Editor.Character,Character,特點,False
MainMenu.Editor.Animation,Animation,卡通,False
MainMenu.Editor.PartsSelection,Choose Parts,選擇零件,False
MainMenu.Editor.PartsAdjustment,Adjustment,調整,False
MainMenu.Search,Search...,搜尋...,False
MainMenu.Editor.SaveCharacter,Save Character,儲存角色,False
MainMenu.Editor.Unload,Clear Character,鮮明的性格,False
MainMenu.Editor.DeleteCharacter,Delete Character,刪除角色,False
MainMenu.Editor.UseCustomTextures,Use Custom Textures,使用自訂紋理,False
MainMenu.Editor.ReloadTextures,Reload Textures,重新加載紋理,False
MainMenu.Editor.OpenCustomTextureFolder,Open Custom Texture Folder,打開自訂紋理資料夾,False
MainMenu.Editor.Color,Color,顏色,False
MainMenu.Editor.TintColor,TintColor,色調顏色,False
MainMenu.Editor.TintBlackColor,TintBlackColor,淡黑色,False
MainMenu.Editor.LICENSE,LICENSE,執照,False
MainMenu.Editor.AssetTypeAA,Default Assets,預設資產,False
MainMenu.Editor.AssetTypeSA,Third-Party Assets,第三方資產,False
MainMenu.Editor.CharacterPopup.CharacterNameEmpty,Name cannot be empty.,名稱不能為空。,False
MainMenu.Editor.CharacterPopup.CharacterNameLength,Name cannot exceed {0} characters.,名稱不能超過 {0} 個字元。,False
MainMenu.Editor.CharacterPopup.CharacterNameInvalidCharacter,"Name cannot contain the character ""{0}"".",名稱不能包含字元“{0}”。,False
MainMenu.Editor.CharacterPopup.CharacterNameReserved,"""{0}"" is a reserved name and cannot be used.",“{0}”是保留名稱，不能使用。,False
MainMenu.Editor.CharacterPopup.CharacterNameEndWithDot,Name cannot end with a dot.,名稱不能以點結尾。,False
MainMenu.Editor.CharacterPopup.CharacterNameOnlySpaces,Name cannot contain only spaces.,名稱不能僅包含空格。,False
MainMenu.Editor.UnloadCurrentModel,Unload Current Model,卸載目前模型,False
MainMenu.Settings.GeneralSettings,General Settings,常規設定,False
MainMenu.Settings.GeneralSettings.Language,Language,語言,False
MainMenu.Settings.ViewportSettings,Viewport Settings,視窗設定,False
